"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0033218,0.013326,0.4316,0.0046104,6.5347,0.0020281,-0.0015226,1,1.4416,5.85,1.4416,0.817
0.0032119,0.013568,0.43323,0.0050497,6.5347,0.0013706,-0.001121,1,1.4688,5.85,1.4688,0.817
0.0031019,0.013809,0.43486,0.0054891,6.5348,0.00071303,-0.00071935,1,1.496,5.85,1.496,0.817
0.002992,0.014051,0.4365,0.0059284,6.5348,5.5486e-05,-0.00031771,1,1.5232,5.85,1.5232,0.817
0.0028794,0.014293,0.43793,0.0063781,6.5348,-0.00067139,8.0626e-05,1,1.5504,5.85,1.5504,0.817
0.0026776,0.016702,0.44038,0.015669,6.527,0.0001944,0.00053669,1,1.5776,5.85,1.5776,0.817
0.0024616,0.019472,0.44305,0.026432,6.5179,0.0013407,0.0010031,1,1.6048,5.85,1.6048,0.817
0.0022456,0.022242,0.44572,0.037195,6.5088,0.002487,0.0014695,1,1.632,5.85,1.632,0.817
0.0020296,0.025013,0.44838,0.047958,6.4997,0.0036334,0.0019359,1,1.6592,5.85,1.6592,0.817
0.0018221,0.027848,0.45076,0.059453,6.5206,0.0044059,0.0024125,1,1.6864,5.85,1.6864,0.817
0.0016563,0.030452,0.45515,0.075781,6.8222,0.0028118,0.0029401,1,1.7136,5.85,1.7136,0.817
0.0014906,0.033056,0.45954,0.092109,7.1237,0.0012178,0.0034677,1,1.7408,5.85,1.7408,0.817
0.0013248,0.03566,0.46392,0.10844,7.4252,-0.00037628,0.0039952,1,1.768,5.85,1.768,0.817
0.0011591,0.038264,0.46831,0.12476,7.7267,-0.0019703,0.0045228,1,1.7952,5.85,1.7952,0.817
0.0010233,0.038891,0.47356,0.13228,8.0743,-0.0027698,0.0049155,1,1.8224,5.85,1.8224,0.817
0.00092808,0.03539,0.48234,0.12204,8.5138,-0.0015476,0.0050108,1,1.8496,5.85,1.8496,0.817
0.0008329,0.031889,0.49113,0.11181,8.9533,-0.00032531,0.005106,1,1.8768,5.85,1.8768,0.817
0.00073772,0.028388,0.49992,0.10157,9.3927,0.00089695,0.0052012,1,1.904,5.85,1.904,0.817
0.00064199,0.024868,0.50847,0.091287,9.8322,0.0020905,0.0052995,1,1.9312,5.85,1.9312,0.817
0.00059869,0.02108,0.51834,0.076972,10.092,0.0037046,0.0053288,1,1.9584,5.85,1.9584,0.817
0.00059712,0.017175,0.53022,0.059864,10.218,0.0057576,0.0052927,1,1.9856,5.85,1.9856,0.817
0.00059555,0.013271,0.5421,0.042756,10.343,0.0078107,0.0052565,1,2.0128,5.85,2.0128,0.817
0.00059397,0.009366,0.55398,0.025648,10.469,0.0098638,0.0052204,1,2.04,5.85,2.04,0.817
0.00059073,0.0054248,0.56485,0.0085044,10.594,0.011932,0.0051865,1,2.0672,5.85,2.0672,0.817
0.00075982,0.0042955,0.57388,0.004427,10.614,0.010854,0.0051878,1,2.0944,5.85,2.0944,0.817
0.00097009,0.0038417,0.58285,0.0034371,10.608,0.0090306,0.0051964,1,2.1216,5.85,2.1216,0.817
