-2.6895,1.1112
-2.5769,1.1091
-2.4868,1.1091
-2.4057,1.1133
-2.2885,1.1133
-2.1984,1.1133
-2.0632,1.1112
-1.9551,1.1112
-1.7884,1.1133
-1.6848,1.0968
-1.5902,1.0701
-1.4865,1.0392
-1.3874,0.99598
-1.3018,0.95071
-1.1937,0.89721
-1.081,0.84577
-0.99544,0.79844
-0.88731,0.75318
-0.7972,0.71408
-0.69357,0.67704
-0.60346,0.63383
-0.50885,0.60708
-0.37819,0.57828
-0.31061,0.5577
-0.20248,0.53712
-0.12588,0.53095
0.0092813,0.52066
0.11291,0.52889
0.21203,0.53301
0.28412,0.54947
0.37873,0.57005
0.47335,0.59268
0.5995,0.62972
0.68961,0.66675
0.77521,0.70585
0.90137,0.73877
0.98697,0.79433
1.0771,0.83754
1.1897,0.88898
1.2888,0.94042
1.388,0.9898
1.4871,1.033
1.5907,1.0659
1.7124,1.1091
1.8971,1.1133
1.9962,1.1133
2.0818,1.1133
2.1854,1.1112
2.2755,1.1153
2.3972,1.1091
2.4963,1.1133
2.5819,1.1133
2.6765,1.1091
2.7621,1.0886
