"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0034656,0.013787,-0.4257,0.0046434,6.6654,0.032942,0.01285,1,1.496,4.95,1.496,0.817
0.0034079,0.014062,-0.40222,0.0049314,6.6622,0.039643,0.012984,1,1.5232,4.95,1.5232,0.817
0.0033238,0.014399,-0.396,0.00533,6.6616,0.044868,0.012959,1,1.5504,4.95,1.5504,0.817
0.0032377,0.014723,-0.37296,0.0057098,6.6583,0.046233,0.012707,1,1.5776,4.95,1.5776,0.817
0.0031466,0.015105,-0.36379,0.0061739,6.6574,0.049379,0.013007,1,1.6048,4.95,1.6048,0.817
0.002959,0.01612,-0.33347,0.0089055,6.653,0.056781,0.014024,1,1.632,4.95,1.632,0.817
0.0026621,0.017883,-0.27971,0.014515,6.6436,0.068634,0.015268,1,1.6592,4.95,1.6592,0.817
0.0023069,0.020629,-0.24227,0.025727,6.6249,0.08186,0.017923,1,1.6864,4.95,1.6864,0.817
0.001883,0.024445,-0.18697,0.040972,6.5591,0.094889,0.019317,1,1.7136,4.95,1.7136,0.817
0.0015097,0.028808,-0.20128,0.060295,6.4922,0.10784,0.020734,1,1.7408,4.95,1.7408,0.817
0.0012291,0.034856,-0.27013,0.11146,6.7726,0.099433,0.021344,1,1.768,4.95,1.768,0.817
0.0010149,0.041004,-0.35993,0.1713,7.2158,0.082924,0.022265,1,1.7952,4.95,1.7952,0.817
0.00091008,0.043895,-0.37649,0.2066,7.7976,0.068651,0.022628,1,1.8224,4.95,1.8224,0.817
0.00080104,0.042784,-0.18781,0.21272,8.5531,0.058791,0.022535,1,1.8496,4.95,1.8496,0.817
0.00069164,0.040956,0.023578,0.21542,9.3523,0.051521,0.022677,1,1.8768,4.95,1.8768,0.817
0.00063118,0.03243,0.27317,0.1559,9.7642,0.064468,0.021651,1,1.904,4.95,1.904,0.817
0.00057385,0.023945,0.45485,0.099385,10.132,0.079792,0.020068,1,1.9312,4.95,1.9312,0.817
0.00052272,0.017079,0.46436,0.060119,10.389,0.095625,0.018025,1,1.9584,4.95,1.9584,0.817
0.00053121,0.012798,0.44723,0.03989,10.49,0.10257,0.015334,1,1.9856,4.95,1.9856,0.817
0.00056599,0.0094424,0.45316,0.025063,10.552,0.10617,0.013905,1,2.0128,4.95,2.0128,0.817
0.00060062,0.006152,0.46201,0.01029,10.615,0.10991,0.013117,1,2.04,4.95,2.04,0.817
0.00069337,0.0045328,0.54454,0.0041852,10.623,0.10545,0.013239,1,2.0672,4.95,2.0672,0.817
0.00090228,0.0040563,0.6245,0.0032845,10.608,0.099382,0.013052,1,2.0944,4.95,2.0944,0.817
0.0011316,0.0036627,0.69566,0.0025857,10.595,0.093948,0.012816,1,2.1216,4.95,2.1216,0.817
0.0013608,0.0032691,0.76682,0.0018868,10.582,0.088513,0.01258,1,2.1488,4.95,2.1488,0.817
0.0015901,0.0028755,0.83799,0.0011879,10.569,0.083079,0.012344,1,2.176,4.95,2.176,0.817
0.0018166,0.002477,0.89728,0.00041508,10.558,0.078372,0.012178,1,2.2032,4.95,2.2032,0.817
0.0020322,0.0023609,0.94508,0.00035221,10.552,0.074412,0.012033,1,2.2304,4.95,2.2304,0.817
0.0022477,0.0022448,0.99288,0.00028934,10.547,0.070452,0.011889,1,2.2576,4.95,2.2576,0.817
0.0024633,0.0021287,1.0407,0.00022648,10.541,0.066492,0.011744,1,2.2848,4.95,2.2848,0.817
0.0026793,0.0020124,1.0867,0.00016289,10.536,0.062765,0.011604,1,2.312,4.95,2.312,0.817
0.0027794,0.0019178,1.1212,0.0001204,10.532,0.059859,0.011486,1,2.3392,4.95,2.3392,0.817
0.0025831,0.0018806,1.1547,0.0001418,10.53,0.055419,0.011357,1,2.3664,4.95,2.3664,0.817
0.0023869,0.0018434,1.1883,0.00016319,10.527,0.050979,0.011229,1,2.3936,4.95,2.3936,0.817
0.0021906,0.0018062,1.2218,0.00018459,10.525,0.046539,0.011101,1,2.4208,4.95,2.4208,0.817
0.0019955,0.0017699,1.2529,0.00020696,10.523,0.042522,0.01098,1,2.448,4.95,2.448,0.817
0.0018462,0.0028752,1.276,0.0013362,10.517,0.038365,0.010881,1,2.4752,4.95,2.4752,0.817
0.0017368,0.005017,1.2955,0.0034702,10.505,0.03345,0.010792,1,2.5024,4.95,2.5024,0.817
0.0016275,0.0071588,1.3149,0.0056043,10.494,0.028535,0.010703,1,2.5296,4.95,2.5296,0.817
0.0015182,0.0093005,1.3344,0.0077383,10.483,0.02362,0.010614,1,2.5568,4.95,2.5568,0.817
0.0014148,0.011532,1.3516,0.0099986,10.472,0.019397,0.010533,1,2.584,4.95,2.584,0.817
0.0012078,0.013818,1.359,0.012314,8.7924,0.016244,0.0089796,1,2.6112,4.95,2.6112,0.817
0.00096875,0.015973,1.3648,0.014439,6.5941,0.012261,0.006751,1,2.6384,4.95,2.6384,0.817
0.00072983,0.018116,1.3707,0.016546,4.3961,0.0081742,0.0045007,1,2.6656,4.95,2.6656,0.817
0.0004909,0.020258,1.3766,0.018652,2.198,0.0040871,0.0022503,1,2.6928,4.95,2.6928,0.817
0.00025198,0.0224,1.3825,0.020759,0,0,0,1,2.72,4.95,2.72,0.817
