x,p,k,epsilon
0,1.21611219032,0.443982494395,0.00148639424464
2.07207207207,1.21656418073,0.444004906239,0.00148423619837
4.14414414414,1.21688664015,0.444023618005,0.0014839972812
6.21621621622,1.21719537073,0.444041937603,0.00148396177022
8.28828828829,1.21750410129,0.4440602572,0.00148392625925
10.3603603604,1.21777106924,0.44407714052,0.00148453766118
12.4324324324,1.21813740517,0.444090741071,0.00148577361728
14.5045045045,1.21924806491,0.444104451064,0.00148400686275
16.5765765766,1.22040523967,0.444119099743,0.0014840559399
18.6486486486,1.22156241441,0.444133748423,0.00148410501705
20.7207207207,1.22271958912,0.444148397102,0.00148415409419
22.7927927928,1.22391341274,0.444163292139,0.00148525595245
24.8648648649,1.22554626275,0.444178426289,0.00148565037912
26.9369369369,1.22774636995,0.444193979219,0.00148432190231
29.009009009,1.22995274179,0.444210399659,0.00148438241429
31.0810810811,1.23215911362,0.444226820099,0.00148444292626
33.1531531532,1.23436548545,0.44424324054,0.00148450343824
35.2252252252,1.23660546649,0.444260086273,0.00148604584909
37.2972972973,1.23950695331,0.444277140231,0.001485599724
39.3693693694,1.2427710492,0.444295042415,0.00148471105745
41.4414414414,1.24601324151,0.444313672537,0.00148478443023
43.5135135135,1.2492554338,0.444332302659,0.00148485780301
45.5855855856,1.25249762609,0.44435093278,0.00148493117579
47.6576576577,1.25574675427,0.444370205268,0.00148691619998
49.7297297297,1.25994458185,0.444389654116,0.00148563071788
51.8018018018,1.2642964107,0.444410529916,0.00148518379713
53.8738738739,1.26863634856,0.444431900832,0.00148527174759
55.9459459459,1.27297628642,0.444453271748,0.00148535969805
58.018018018,1.27731940775,0.444474750945,0.00148573402054
60.0900900901,1.28173763967,0.444496910597,0.00148769982823
62.1621621622,1.2873756013,0.444519322571,0.00148575427575
64.2342342342,1.29298059081,0.444543964152,0.00148575155777
66.3063063063,1.29858375875,0.444568728908,0.00148585617315
68.3783783784,1.30418692668,0.444593493665,0.00148596078853
70.4504504505,1.30980528491,0.444618547935,0.00148678124923
72.5225225225,1.31582206549,0.44464424819,0.00148791157054
74.5945945946,1.32293172248,0.444670721042,0.00148630437983
76.6666666667,1.3300184163,0.444699705486,0.00148642823979
78.7387387387,1.33710511011,0.444728689929,0.00148655209975
80.8108108108,1.34419180392,0.444757674372,0.00148667595971
82.8828828829,1.35130940219,0.444787128209,0.00148794554559
84.954954955,1.3592486755,0.444817237842,0.00148824267795
87.027027027,1.3681164394,0.444849088123,0.00148708479986
89.0990990991,1.37697737393,0.444883392302,0.00148723122167
91.1711711712,1.38583830846,0.444917696482,0.00148737764347
93.2432432432,1.39469924299,0.444952000661,0.00148752406528
95.3153153153,1.40361268906,0.444986917076,0.00148924614974
97.3873873874,1.41394041465,0.445022623432,0.00148871338714
99.4594594595,1.42496961572,0.44506159094,0.00148800987792
101.531531532,1.43600733308,0.44510276055,0.00148818335386
103.603603604,1.44704505045,0.44514393016,0.0014883568298
105.675675676,1.45808276783,0.445185099771,0.00148853030574
107.747747748,1.46920317604,0.445226935339,0.00149070878004
109.81981982,1.48259388216,0.44526996426,0.00148935128311
111.891891892,1.49635796077,0.445318752329,0.00148910966325
113.963963964,1.51013844072,0.445369096536,0.00148931668405
116.036036036,1.52391892067,0.445419440742,0.00148952370486
118.108108108,1.53771950438,0.44546987603,0.00149010666879
120.18018018,1.55189456086,0.445520898269,0.00149201543181
122.252252252,1.56905784051,0.445573807819,0.00149019699063
124.324324324,1.5863585578,0.445636828248,0.00149042918889
126.396396396,1.6036605058,0.445699939216,0.00149067974994
128.468468468,1.62096245381,0.445763050184,0.00149093031099
130.540540541,1.63831194503,0.445826239814,0.00149198462469
132.612612613,1.65699210165,0.445890550709,0.00149308407748
134.684684685,1.67872622561,0.445960287861,0.00149173041333
136.756756757,1.70070025671,0.446042223895,0.00149204147425
138.828828829,1.72267428781,0.446124159928,0.00149235253516
140.900900901,1.74464831892,0.446206095961,0.00149266359608
142.972972973,1.76674137864,0.446288074226,0.00149420331789
145.045045045,1.79176950304,0.44637306662,0.0014945157142
147.117117117,1.81971819372,0.446470055861,0.001493674801
149.189189189,1.84783198969,0.446580166307,0.00149407506876
151.261261261,1.87594578565,0.446690276753,0.00149447533652
153.333333333,1.90405958162,0.446800387199,0.00149487560428
155.405405405,1.93222557061,0.446909839249,0.00149692282646
157.477477477,1.96591175629,0.447027012647,0.00149648547233
159.54954955,2.00260285597,0.447166585851,0.00149619889735
161.621621622,2.0397828724,0.447318085192,0.00149672308292
163.693693694,2.07696288881,0.447469584532,0.00149724726848
165.765765766,2.11415724495,0.447621040644,0.00149780681777
167.837837838,2.15215336995,0.447770079771,0.00150034364019
169.90990991,2.20007890556,0.447938700748,0.00149919483924
171.981981982,2.25101970392,0.448124576134,0.00149931782606
174.054054054,2.30270630335,0.448314826354,0.00149977818892
176.126126126,2.36514207573,0.448545704493,0.0015003630279
178.198198198,2.42966780873,0.44877458076,0.00150103326067
180.27027027,2.49935335268,0.449000120967,0.00150194895884
182.342342342,2.55579256328,0.449249057681,0.00150255436131
184.414414414,2.60987781947,0.449482063134,0.00150320686648
186.486486486,2.66526083691,0.449720877685,0.00150407712744
188.558558559,2.74041275582,0.450089552855,0.00150535062673
190.630630631,2.81559922672,0.450494156625,0.00150665104096
192.702702703,2.89512927532,0.450942148804,0.00150811462797
194.774774775,2.98312373176,0.451474692753,0.00150989619271
196.846846847,3.07081956129,0.45197950638,0.00151160378182
198.918918919,3.16576441535,0.452534080863,0.00151347563318
200.990990991,3.27044755797,0.453202899874,0.00151569190568
