y,p,k,epsilon
0,0.154266423598,0.443982494395,0.00148639424464
2.5250501002,0.154265656534,0.443712573159,0.00148245801718
5.0501002004,0.15425903832,0.443468345311,0.00148105267879
7.5751503006,0.154252412783,0.443224659496,0.00147965038799
10.1002004008,0.154244951401,0.442972770197,0.00147857968089
12.625250501,0.15423259846,0.442677434244,0.00147823968242
15.1503006012,0.154220805726,0.442409812716,0.00147521681642
17.6753507014,0.154210247086,0.442172470984,0.00147398289394
20.2004008016,0.154199688446,0.441935129251,0.00147274897146
22.7254509018,0.154190294973,0.44168666903,0.00147240155919
25.250501002,0.154182612994,0.441435679891,0.00147108450214
27.7755511022,0.154174431645,0.441224355626,0.00146898938795
30.3006012024,0.154165982399,0.441031132671,0.00146798381325
32.8256513026,0.154157533153,0.440837909716,0.00146697823856
35.3507014028,0.154148988431,0.440639560184,0.001467471119
37.875751503,0.154140255682,0.440464143219,0.00146535444503
40.4008016032,0.154132626092,0.440323263578,0.00146423089319
42.9258517034,0.154125231073,0.440187880411,0.00146351654396
45.4509018036,0.154117836055,0.440052497244,0.00146280219474
47.9759519038,0.154112219665,0.439919438098,0.00146421219976
50.501002004,0.154106657679,0.439822583428,0.00146154090136
53.0260521042,0.154102152203,0.43974118853,0.0014610974086
55.5511022044,0.154097664776,0.439660122577,0.00146065568984
58.0761523046,0.154093429869,0.439579741951,0.00146054457656
60.6012024048,0.154090696103,0.43951144345,0.00146140955009
63.126252505,0.154088133633,0.439469165613,0.00145957327478
65.6513026052,0.154086521329,0.439430042248,0.00145934273804
68.1763527054,0.154084909024,0.439390918883,0.00145911220129
70.7014028056,0.154084115835,0.439352651447,0.00145980650792
73.2264529058,0.1540844163,0.439330440297,0.00145972581684
75.751503006,0.154085193178,0.439320682791,0.00145865215141
78.2765531062,0.154086514245,0.439309034805,0.00145856186345
80.8016032064,0.154087835313,0.439297386819,0.00145847157549
83.3266533066,0.154090429331,0.439284045107,0.00145989055446
85.8517034068,0.154093396801,0.439290661911,0.00145877438031
88.376753507,0.154097129644,0.439295672842,0.00145837377038
90.9018036072,0.154101069593,0.43929891631,0.00145836284416
93.4268537074,0.154105009541,0.439302159777,0.00145835191795
95.9519038076,0.154110584505,0.439298684914,0.00146042435333
98.4769539078,0.154115943263,0.439320346665,0.00145839717973
101.002004008,0.154122132021,0.439329334105,0.00145842177914
103.527054108,0.154128333185,0.439338303535,0.00145844644162
106.052104208,0.154134741738,0.439345791794,0.00145877156046
108.577154309,0.15414245119,0.439349474018,0.00146007999171
111.102204409,0.154150009976,0.439369220916,0.00145855358402
113.627254509,0.154158076359,0.439378158843,0.0014585865836
116.152304609,0.154166142741,0.43938709677,0.00145861958318
118.677354709,0.154174721661,0.439390682326,0.00145953068535
121.20240481,0.154183940296,0.439398553949,0.00145967896866
123.72745491,0.154193258971,0.439411477878,0.00145872258444
126.25250501,0.15420282511,0.439417310689,0.00145874933351
128.77755511,0.154212391249,0.439423143499,0.00145877608259
131.30260521,0.154222652265,0.439419144973,0.00146025542405
133.827655311,0.154233066032,0.43942939933,0.0014592336422
136.352705411,0.154243747312,0.439433843137,0.00145884009483
138.877755511,0.154254498907,0.439435300919,0.00145885432182
141.402805611,0.154265250501,0.4394367587,0.0014588685488
143.927855711,0.154276773651,0.439423883726,0.00146090901883
146.452905812,0.154288168251,0.439434993254,0.00145888294204
148.977955912,0.154299863879,0.439431914698,0.00145888328776
151.503006012,0.154311548508,0.439428776495,0.00145888347566
154.028056112,0.154323315128,0.439423673065,0.00145915871934
156.553106212,0.154335653149,0.439410080834,0.00146046153549
159.078156313,0.15434794563,0.439413454044,0.00145886392523
161.603206413,0.154360374435,0.439406008891,0.00145885086117
164.128256513,0.15437280324,0.439398563737,0.0014588377971
166.653306613,0.154385428137,0.439385089191,0.0014596752634
169.178356713,0.154398352916,0.439374263809,0.00145980841152
171.703406814,0.154411351895,0.439369697629,0.00145877524341
174.228456914,0.154424393081,0.439358409604,0.00145875054473
176.753507014,0.154437434267,0.439347121578,0.00145872584605
179.278557114,0.154450729973,0.439325882057,0.00146012712914
181.803607214,0.154464189671,0.439318323568,0.00145909299517
184.328657315,0.154477773668,0.43930647363,0.0014586268763
186.853707415,0.154491345038,0.439291800886,0.00145859221719
189.378757515,0.154504916408,0.439277128143,0.00145855755809
191.903807615,0.154518767073,0.439248731458,0.00146052440686
194.428857715,0.154532761019,0.439243871762,0.00145847115637
196.953907816,0.15454684935,0.439226199933,0.00145842792703
199.478957916,0.154560908662,0.439208514281,0.00145838470341
202.004008016,0.154574996116,0.439189123546,0.00145859428461
204.529058116,0.154589348845,0.439161520916,0.00145989748542
207.054108216,0.154603888939,0.439151134768,0.00145823620396
209.579158317,0.154618425708,0.439130699412,0.00145818544129
212.104208417,0.154632962477,0.439110264057,0.00145813467861
214.629258517,0.15464757484,0.439084320518,0.00145891219171
217.154308617,0.154662431391,0.439060868357,0.0014590521898
219.679358717,0.154677481929,0.439044184363,0.00145796186689
222.204408818,0.154692509795,0.439021161246,0.0014579042454
224.729458918,0.154707537661,0.438998138128,0.00145784662391
227.254509018,0.1547226733,0.438965888171,0.0014591925912
229.779559118,0.154738090859,0.438946551521,0.00145816993187
232.304609218,0.154753675683,0.438923763175,0.00145765136305
234.829659319,0.154769226545,0.438898233114,0.00145758728881
237.354709419,0.154784777407,0.438872703053,0.00145752321457
239.879759519,0.154800459073,0.438834288066,0.00145943777233
242.404809619,0.154816516114,0.438818197352,0.00145737688079
244.929859719,0.154832669926,0.438790174724,0.00145730645363
247.45490982,0.154848789134,0.438762161989,0.00145723613983
249.97995992,0.154864921538,0.43873266002,0.0014573963539
252.50501002,0.154881256381,0.43869488592,0.00145871552892
255.03006012,0.154897986278,0.438673951867,0.00145700439193
257.55511022,0.154914729267,0.438643450362,0.0014569279367
260.080160321,0.154931472255,0.438612948858,0.00145685148148
262.605210421,0.154948254922,0.438577282587,0.00145758048104
265.130260521,0.154965319543,0.438543453864,0.00145773736433
267.655310621,0.154982738511,0.438516509272,0.00145659864931
270.180360721,0.155000168124,0.438483511204,0.00145651610929
272.705410822,0.155017597737,0.438450513137,0.00145643356927
275.230460922,0.15503508338,0.438408735718,0.00145773101524
277.755511022,0.155052959776,0.438378631311,0.00145672564273
280.280561122,0.155071148606,0.438345822009,0.00145615974572
282.805611222,0.155089333616,0.438310352784,0.00145607121342
285.330661323,0.155107518627,0.438274883559,0.00145598268113
287.855711423,0.155125764259,0.438227101544,0.00145784822312
290.380761523,0.155144548121,0.438199960896,0.00145578272642
292.905811623,0.155163588151,0.438162119229,0.00145568824326
295.430861723,0.155182602073,0.438124285378,0.00145559394618
297.955911824,0.155201619968,0.438085157291,0.00145570776897
300.480961924,0.155220787017,0.438037544951,0.00145704432271
303.006012024,0.155240526784,0.438006163977,0.00145528528205
305.531062124,0.155260448026,0.437966225229,0.00145518573775
308.056112224,0.155280369269,0.437926286481,0.00145508619346
310.581162325,0.155300294484,0.437881577598,0.00145576886209
313.106212425,0.155320484313,0.437837916827,0.0014559440377
315.631262525,0.155341233734,0.437801591401,0.00145475971636
318.156312625,0.155362145835,0.437760074873,0.00145465601101
320.681362725,0.155383057937,0.437718558345,0.00145455230567
323.206412826,0.155403952822,0.437669022752,0.00145580459212
325.731462926,0.155425236012,0.437629614245,0.00145481964287
328.256513026,0.155447127721,0.437589672938,0.00145421291248
330.781563126,0.155469121224,0.437547559269,0.00145410723834
333.306613226,0.155491114727,0.4375054456,0.00145400156419
335.831663327,0.155513043585,0.437452479931,0.00145582569206
338.356713427,0.15553550688,0.437417800256,0.00145376309504
340.881763527,0.15555868173,0.437376912487,0.00145365973233
343.406813627,0.155581855159,0.43733594178,0.00145355645032
345.931863727,0.155605017446,0.437294011699,0.00145363911569
348.456913828,0.155628144898,0.437244908182,0.00145500994083
350.981963928,0.155651941286,0.437211880038,0.00145322315288
353.507014028,0.155676401525,0.437175060588,0.00145313090359
356.032064128,0.155700861987,0.437138236953,0.00145303865132
358.557114228,0.15572525272,0.437098055681,0.00145370735867
361.082164329,0.155749690547,0.437059494768,0.00145393547717
363.607214429,0.155774976654,0.437032372273,0.00145275372163
366.132264529,0.155800832659,0.437004796002,0.00145268955454
368.657314629,0.155826688664,0.436977219732,0.00145262538745
371.182364729,0.15585236436,0.436945346177,0.00145390083181
373.70741483,0.155878150881,0.436922578739,0.00145300510364
376.23246493,0.155905132857,0.436911687507,0.00145246712443
378.75751503,0.155932472853,0.436901918751,0.00145246447811
381.28256513,0.155959812848,0.436892149996,0.00145246183179
383.80761523,0.155986780864,0.436879922055,0.00145438720882
386.332665331,0.156013973238,0.436882463981,0.00145246547886
388.857715431,0.156042755113,0.436905399165,0.0014525915955
391.382765531,0.156071590463,0.436927663655,0.00145271511934
393.907815631,0.156100378375,0.436950226772,0.00145300628129
396.432865731,0.156128590828,0.436978993212,0.00145469818245
398.957915832,0.156157418492,0.437030135468,0.00145320905052
401.482965932,0.156187563172,0.437107875258,0.00145358138613
404.008016032,0.156217712874,0.437185550436,0.00145395341332
406.533066132,0.156247536889,0.437268239702,0.00145509854212
409.058116232,0.15627683277,0.437365931369,0.0014559313132
411.583166333,0.156306939485,0.437506177692,0.00145546960853
414.108216433,0.156337821642,0.437677093518,0.00145631472579
416.633266533,0.156368703799,0.437848009343,0.00145715984304
419.158316633,0.156398672061,0.438038122584,0.00145943920963
421.683366733,0.156428428427,0.438247827893,0.00145968592646
424.208416834,0.156458498632,0.438548168437,0.00146070995209
426.733466934,0.156488822561,0.438872186882,0.00146242439629
429.258517034,0.15651914649,0.439196205327,0.00146413884049
431.783567134,0.156547389442,0.43957059403,0.00146806689481
434.308617234,0.156576305855,0.439965067822,0.00146827843209
436.833667335,0.156603500826,0.440536879763,0.00147154879183
439.358717435,0.156630923512,0.44110572294,0.00147479742217
441.883767535,0.156658103668,0.441680897037,0.00147823151776
444.408817635,0.156681883147,0.442354917797,0.00148376746005
446.933867735,0.156705890322,0.443110736747,0.00148656387706
449.458917836,0.156726850534,0.444059249698,0.0014923993952
451.983967936,0.156747837789,0.445007413673,0.00149823209164
454.509018036,0.156767044734,0.446005637391,0.0015051512493
457.034068136,0.156783287796,0.447125763978,0.00151268636026
459.559118236,0.156796907136,0.448458053336,0.00152021557084
462.084168337,0.156807236932,0.44997223544,0.00153018042751
464.609218437,0.156817566727,0.451486417544,0.00154014528418
467.134268537,0.156823712275,0.453133473603,0.00155245508213
469.659318637,0.156828051146,0.454922051041,0.00156392827138
472.184368737,0.156826146225,0.457123445273,0.00157868923951
474.709418838,0.156822391071,0.459446285535,0.00159490646072
477.234468938,0.156818635916,0.461769125796,0.00161112368193
479.759519038,0.15680824264,0.464356551027,0.00163145250023
482.284569138,0.156797262198,0.467109265735,0.00164956052249
484.809619238,0.156778521697,0.470531870312,0.00167472320219
487.334669339,0.156759996411,0.473953727543,0.00169987148306
489.859719439,0.15674111336,0.477397168265,0.00172533591059
492.384769539,0.156715549763,0.481265973402,0.00175617101574
494.909819639,0.156688190405,0.485493029479,0.00178675454798
497.434869739,0.156657680881,0.490319634222,0.00182387626934
499.95991984,0.15662718492,0.495146853838,0.00186100212796
502.48496994,0.156595691993,0.500115464854,0.00190021931537
505.01002004,0.156560741316,0.505536931759,0.00194358863311
507.53507014,0.156523378107,0.511563493586,0.00199057199627
510.06012024,0.156485310993,0.518041194833,0.00204251983869
512.585170341,0.156447243878,0.524518896079,0.0020944676811
515.110220441,0.156409950635,0.53123167791,0.00215033508147
517.635270541,0.156370253896,0.538430650851,0.002209070951
520.160320641,0.15632779481,0.546364095648,0.00227455500009
522.685370741,0.15628484905,0.554530590701,0.00234272746789
525.210420842,0.156241903291,0.562697085754,0.00241089993569
527.735470942,0.15620381035,0.571022276756,0.00248365249723
530.260521042,0.156161169643,0.57993752112,0.00255840309511
532.785571142,0.156113822022,0.589389291344,0.00264043553978
535.310621242,0.156066223866,0.598888927846,0.00272292760805
537.835671343,0.156019101003,0.608376494689,0.00280549894773
540.360721443,0.155981585503,0.617698925642,0.00289022145161
542.885771543,0.155935746154,0.627632994101,0.00297738392469
545.410821643,0.155885102844,0.637617562631,0.00306751992215
547.935871743,0.155834391922,0.647611162494,0.00315774473332
550.460921844,0.155789034805,0.657323182444,0.0032467021041
552.985971944,0.155752636746,0.666685565439,0.003333994067
555.511022044,0.155708040759,0.67625475854,0.00342203183745
558.036072144,0.155660514947,0.68560699661,0.00350974580694
560.561122244,0.155612989134,0.694959234681,0.00359745977643
563.086172345,0.155579732816,0.70343924016,0.0036792063991
565.611222445,0.155550457933,0.711745991233,0.00375863253559
568.136272545,0.15551558178,0.719654538522,0.00383477259919
570.661322645,0.155479616901,0.727371551135,0.00390989398055
573.186372745,0.155443652022,0.735088563748,0.00398501536191
575.711422846,0.155432609976,0.741260251118,0.00404793144151
578.236472946,0.15541484051,0.747773805516,0.00411150666351
580.761523046,0.155395583885,0.753365402884,0.00416788470311
583.286573146,0.15537589617,0.758974539231,0.00422452330104
585.811623246,0.15535724784,0.764521502719,0.00428063311391
588.336673347,0.155367142803,0.768325151308,0.00432159279176
590.861723447,0.155362210638,0.77258018783,0.00436436799148
593.386773547,0.155357336084,0.776175583597,0.00440200142943
595.911823647,0.155352416797,0.779773910609,0.00443967242048
598.436873747,0.155355170061,0.78293466277,0.00447346154229
600.961923848,0.155370342047,0.785223535829,0.00449862044645
603.486973948,0.155373845391,0.787585895782,0.0045232025084
606.012024048,0.155377373658,0.789597625803,0.00454499111425
608.537074148,0.155380901924,0.791609355823,0.00456677972011
611.062124248,0.155394901958,0.793021602519,0.00458314701918
613.587174349,0.155405479546,0.794255251639,0.00459651341116
616.112224449,0.155409459518,0.795281820007,0.00460748043174
618.637274549,0.155413784425,0.796154579738,0.0046171857226
621.162324649,0.155418109332,0.797027339469,0.00462689101346
623.687374749,0.155431442978,0.797287216227,0.00463108802833
626.21242485,0.155429030148,0.797822061138,0.00463596544539
628.73747495,0.155428912819,0.797835870234,0.00463608533746
631.26252505,0.155428910911,0.797835873955,0.00463608536272
633.78757515,0.155429024389,0.797822072337,0.00463596552141
636.312625251,0.155431433365,0.797287234592,0.00463108815292
638.837675351,0.1554180893,0.797028209854,0.00462691060043
641.362725451,0.15541375856,0.79615569974,0.00461721092368
643.887775551,0.155409429696,0.795282947791,0.0046075056898
646.412825651,0.155405454156,0.794255300728,0.00459651375865
648.937875752,0.155394872693,0.793021659528,0.00458314742782
