z,U_0,U_1,U_2
0,0,0,0
1.40280561122,4.63122235981,0.000195542688799,-0.0456081827937
2.80561122244,5.28150020506,0.00044761920273,-0.0872822283665
4.20841683367,5.61887104647,0.000579538337636,-0.128210812346
5.61122244489,5.86271611343,0.000865877671903,-0.164463847351
7.01402805611,6.05563716607,0.00123920732852,-0.195183475824
8.41683366733,6.211743366,0.000617264650911,-0.245995666031
9.81963927856,6.34422597301,0.000108168919569,-0.300949479752
11.2224448898,6.45335080015,0.000894601693619,-0.316555468747
12.625250501,6.54842025683,0.000615765613155,-0.363004882868
14.0280561122,6.62855867141,0.000352460836755,-0.416553449096
15.4308617234,6.70381432956,0.00104254081793,-0.423971262548
16.8336673347,6.7614373382,0.000130023396939,-0.514249341389
18.2364729459,6.81637624441,1.17699074128e-08,-0.567099467714
19.6392785571,6.88072293994,1.17865036516e-08,-0.631514155941
21.0420841683,6.9334048782,1.17598324802e-08,-0.698351739323
22.4448897796,6.9824137891,1.16836292406e-08,-0.767979018818
23.8476953908,7.03299786594,1.15649728115e-08,-0.847061314646
25.250501002,7.08183527899,1.14185200658e-08,-0.934189990033
26.6533066132,7.12441588554,1.1258259571e-08,-1.02742175802
28.0561122244,7.15438796016,1.10867202591e-08,-1.13074740066
29.4589178357,7.13288223826,1.09130134571e-08,-1.2353840565
30.8617234469,7.00321875027,1.07192158058e-08,-1.33408339206
32.2645290581,6.73822565541,1.05103382964e-08,-1.41712478576
33.6673346693,6.16428421794,1.03283854068e-08,-1.42022115618
35.0701402806,5.6954615444,1.0192705528e-08,-1.37273888206
36.4729458918,5.31511420642,1.00935072073e-08,-1.2862750851
37.875751503,5.34111083801,1.0040193104e-08,-1.19791578508
39.2785571142,5.37083839324,9.98686982622e-09,-1.11327377781
40.6813627255,5.4085680247,9.93352687097e-09,-1.03660461122
42.0841683367,5.44575486942,9.88508298944e-09,-0.966248322003
43.4869739479,5.4826058809,9.83967026497e-09,-0.899797939074
44.8897795591,5.51777453674,9.79306640787e-09,-0.83904752258
46.2925851703,5.55237908147,9.74606315178e-09,-0.78020836328
47.6953907816,5.58279224054,9.7008566338e-09,-0.730634130308
49.0981963928,5.61263388684,9.65589510849e-09,-0.682323208332
