y,p,k,epsilon
0,0.0640159850871,0.443982494395,0.00148639424464
2.5250501002,0.0640155250724,0.443622193577,0.00148196583418
5.0501002004,0.0640102451612,0.443286678742,0.00148007621082
7.5751503006,0.0640049652501,0.442951163908,0.00147818658746
10.1002004008,0.0639989881979,0.442607850669,0.00147662998627
12.625250501,0.0639890996865,0.442218608553,0.00147578669688
15.1503006012,0.0639795146704,0.441856604272,0.0014722590009
17.6753507014,0.0639701095735,0.441526803434,0.00147054146389
20.2004008016,0.0639607044767,0.441197002596,0.00146882392689
22.7254509018,0.0639517691239,0.440858045797,0.00146800186001
25.250501002,0.0639437126355,0.440514703616,0.00146619351998
27.7755511022,0.0639350597382,0.44021362461,0.0014636267349
30.3006012024,0.0639259135023,0.439933471446,0.00146217185168
32.8256513026,0.0639167672665,0.439653318282,0.00146071696847
35.3507014028,0.0639072409651,0.439373643151,0.00146078865264
37.875751503,0.063897647344,0.439112224579,0.00145821656745
40.4008016032,0.0638883440494,0.438894058866,0.00145669528791
42.9258517034,0.0638790853141,0.438682699447,0.00145559278349
45.4509018036,0.063869831284,0.438471661933,0.00145449181327
47.9759519038,0.0638615052913,0.438273551847,0.00145557089858
50.501002004,0.0638534002655,0.438102912175,0.00145251055899
53.0260521042,0.0638456277368,0.437960969748,0.00145176079154
55.5511022044,0.0638378552082,0.437819027322,0.0014510110241
58.0761523046,0.0638302693707,0.437680342543,0.00145060540417
60.6012024048,0.0638237155528,0.437563509631,0.00145122523464
63.126252505,0.0638173520126,0.437467860314,0.001449109891
65.6513026052,0.0638114293909,0.437385006929,0.0014486584208
68.1763527054,0.0638055067693,0.437302153543,0.0014482069506
70.7014028056,0.0638002467728,0.43722731836,0.00144871950786
73.2264529058,0.0637958964075,0.437171641193,0.00144846636678
75.751503006,0.0637918783712,0.437129178894,0.00144721943828
78.2765531062,0.0637881541732,0.437090647243,0.00144699035332
80.8016032064,0.0637844299753,0.437052115592,0.00144676126837
83.3266533066,0.0637818595454,0.43702375213,0.00144810868287
85.8517034068,0.0637797180276,0.437009365411,0.00144687336031
88.376753507,0.0637780948742,0.43699995626,0.00144638970023
90.9018036072,0.0637765883305,0.436990927573,0.00144630849092
93.4268537074,0.0637751056452,0.436981972062,0.0014462276117
95.9519038076,0.0637751881934,0.436981870862,0.001448322667
98.4769539078,0.0637752141754,0.436991935392,0.0014462101579
101.002004008,0.0637758224028,0.436999879715,0.00144621542202
103.527054108,0.0637764306302,0.437007824039,0.00144622068613
106.052104208,0.0637773012972,0.437016393364,0.00144653960021
108.577154309,0.0637795307519,0.437030831083,0.0014478985169
111.102204409,0.0637816836678,0.437049957097,0.00144633833269
113.627254509,0.0637842037631,0.437065465431,0.00144638525699
116.152304609,0.0637867238583,0.437080973764,0.00144643218129
118.677354709,0.0637898707121,0.437096459668,0.00144739326594
121.20240481,0.063793777069,0.437115834328,0.00144758176097
123.72745491,0.063797775645,0.437135460869,0.00144662827376
126.25250501,0.0638019651485,0.43715215805,0.00144668738676
128.77755511,0.0638061546519,0.437168855231,0.00144674649976
131.30260521,0.0638112370904,0.437183394674,0.00144831441677
133.827655311,0.0638165732276,0.437202696151,0.00144730559542
136.352705411,0.0638221221399,0.437218035493,0.00144693944122
138.877755511,0.063827732895,0.437232048043,0.00144699335863
141.402805611,0.063833372966,0.437246010051,0.00144704708958
143.927855711,0.063840006209,0.437255148938,0.0014492019133
146.452905812,0.0638465657103,0.437271311843,0.00144715560662
148.977955912,0.0638533650529,0.437280606949,0.0014471954488
151.503006012,0.0638601643955,0.437289902054,0.00144723529099
154.028056112,0.0638671308153,0.437298293675,0.00144755959974
156.553106212,0.0638748487655,0.437302714377,0.00144895026058
159.078156313,0.0638825061931,0.437311568724,0.00144733999712
161.603206413,0.0638902911765,0.437315341098,0.00144736230538
164.128256513,0.0638980761598,0.437319113472,0.00144738461364
166.653306613,0.0639061994656,0.437320108505,0.00144828667008
169.178356713,0.0639147197957,0.437320700461,0.00144846189448
171.703406814,0.0639232674393,0.437321971859,0.00144742671437
174.228456914,0.0639318685266,0.437320154522,0.00144743113769
176.753507014,0.063940469614,0.437318337185,0.00144743556101
179.278557114,0.0639495059782,0.437311901565,0.00144891487433
181.803607214,0.0639587191855,0.437309040807,0.00144787568636
184.328657315,0.0639679884259,0.437303204803,0.00144741837213
186.853707415,0.0639772708373,0.437296118452,0.00144740609961
189.378757515,0.0639865832675,0.437288990964,0.00144739368385
191.903807615,0.0639963115085,0.437275706394,0.00144945221366
194.428857715,0.0640061404827,0.437269474235,0.00144735115674
196.953907816,0.064016000895,0.437257598932,0.00144732394903
199.478957916,0.0640258613072,0.437245723629,0.00144729674132
202.004008016,0.0640358219284,0.437233044461,0.00144753099407
204.529058116,0.0640460861206,0.437216174088,0.00144889766949
