y,U_0,U_1,U_2
0,7.9994015519,0,0
2.5250501002,8.00340107671,7.06261562273e-08,-5.04226023785e-05
5.0501002004,8.00669849717,2.04400601039e-06,-0.000109185721648
7.5751503006,8.00999056315,4.03128344591e-06,-0.000168304100042
10.1002004008,8.01320685161,6.37862084185e-06,-0.000227430887036
12.625250501,8.01614004404,1.08188385422e-05,-0.00028663455905
15.1503006012,8.01931941063,1.51239454418e-05,-0.000347819750049
17.6753507014,8.02206047535,1.92137312491e-05,-0.00041290311422
20.2004008016,8.02479852234,2.33262604969e-05,-0.000478164560673
22.7254509018,8.02735467466,2.74304824213e-05,-0.00054273336054
25.250501002,8.02993316959,3.15337011059e-05,-0.000606268507946
27.7755511022,8.03245919202,3.54965420503e-05,-0.000671269963962
30.3006012024,8.03473329413,3.94376543985e-05,-0.000737626505975
32.8256513026,8.03700661466,4.33867225507e-05,-0.00080402026868
35.3507014028,8.03898106243,4.73303185977e-05,-0.000868008496506
37.875751503,8.04123161893,5.12851284744e-05,-0.000930635477449
40.4008016032,8.04317265619,5.46970703901e-05,-0.000993665974254
42.9258517034,8.04502093231,5.8090908841e-05,-0.00105700679731
45.4509018036,8.04686920843,6.14847472919e-05,-0.00112034762038
47.9759519038,8.04830300559,6.43062966309e-05,-0.00117908917403
50.501002004,8.05022787828,6.69945790502e-05,-0.0012370913755
53.0260521042,8.05170476444,6.92613657874e-05,-0.00129443273129
55.5511022044,8.05317674109,7.15899305405e-05,-0.00135186740981
58.0761523046,8.05458554213,7.38293444243e-05,-0.00140847328019
60.6012024048,8.05573971337,7.54860286833e-05,-0.00145983439017
63.126252505,8.05719604744,7.69398279753e-05,-0.00151060366116
65.6513026052,8.05834911201,7.82046053876e-05,-0.00156048840357
68.1763527054,8.05949948603,7.9503624795e-05,-0.00161038754754
70.7014028056,8.06047744759,8.05673193992e-05,-0.00165786527757
73.2264529058,8.06147322983,8.11501826809e-05,-0.00170135299967
75.751503006,8.06253667603,8.15154702589e-05,-0.00174381612948
78.2765531062,8.0634224686,8.18862643979e-05,-0.00178560387198
80.8016032064,8.06430756225,8.22658602766e-05,-0.00182738686015
83.3266533066,8.06492002871,8.23795311993e-05,-0.00186534246855
85.8517034068,8.0658218332,8.20658251826e-05,-0.00190079681522
88.376753507,8.06656472819,8.16639833238e-05,-0.0019349719734
90.9018036072,8.06723846861,8.13286099603e-05,-0.00196882286326
