(1-U/Uref)
0.580333
0.571525
0.563397
0.564181
0.568632
0.570379
0.578995
0.662972
0.791936
0.853034
0.85987
0.860993
0.856781
0.857568
0.860608
0.870789
0.878695
0.913695
1.145415
1.236998
1.242551
1.242745
1.242501
1.24141
1.242153
1.242239
1.242056
1.240867
1.239801
1.239327
1.242038
1.246448
1.253377
1.258026
1.263434
1.27374
0.566378
0.570963
0.567699
0.558572
0.543311
0.527209
0.500394
0.481458
0.482736
0.492241
0.492794
0.499473
0.510256
0.541101
0.594869
0.667946
0.730228
0.779877
0.801183
0.807486
0.80872
0.806513
0.803982
0.804564
0.804393
0.803256
0.803394
0.807065
0.815011
0.81488
0.814033
0.813412
0.812182
0.812231
0.813798
0.818637
0.825386
0.831526
0.851388
0.873005
0.969155
1.081713
1.16383
1.203899
1.215812
1.221226
1.223443
1.220631
1.224996
1.24656
