1-U/Uref
0.574055
0.593999
0.612613
0.630159
0.648347
0.656815
0.674499
0.678441
0.687727
0.699904
0.701475
0.706979
0.710516
0.713499
0.719744
0.723383
0.7227
0.727147
0.726965
0.73138
0.73574
0.730879
0.730833
0.733508
0.734596
0.734433
0.735453
0.740267
0.743502
0.758544
0.7689
0.776372
0.796467
0.808811
0.838467
0.854406
0.872164
0.894335
0.905048
0.931568
0.975708
1.027915
1.075306
1.126054
1.164076
1.193792
1.211562
1.217105
1.223955
1.234717
0.595733
0.578779
0.563515
0.546276
0.537628
0.539686
0.576056
0.643524
0.713429
0.785415
0.807212
0.828479
0.857151
0.887704
0.925191
0.954624
0.976683
0.999201
1.034058
1.078576
1.149531
1.208574
1.233542
1.238625
1.23913
1.240003
1.23995
1.24025
1.239879
1.238967
1.239442
1.246355
1.252632
1.257339
1.261648
1.270515
