z,p,k,epsilon
0,-0.127255418562,0.542187902461,0.284135992843
1.40280561122,-0.126787114596,0.603309310981,0.166585080287
2.80561122244,-0.126141137023,0.577916737587,0.073153682168
4.20841683367,-0.125147246924,0.538220460726,0.0423666142314
5.61122244489,-0.123459771322,0.523879689745,0.0283368705194
7.01402805611,-0.1208107374,0.522621414134,0.0208331985891
8.41683366733,-0.116275572901,0.530201557625,0.0166236131629
9.81963927856,-0.110735030959,0.542505285541,0.0143748174868
11.2224448898,-0.104886895948,0.555854316461,0.0129048880556
12.625250501,-0.0986261878285,0.571591484536,0.0120366903597
14.0280561122,-0.0939326988085,0.588154822095,0.0115365041382
15.4308617234,-0.0920197666556,0.604908497951,0.0111407435993
16.8336673347,-0.0911499808991,0.626744069174,0.0110368131742
18.2364729459,-0.0924705511469,0.64810514472,0.0108884436385
19.6392785571,-0.0941937039345,0.677445116544,0.0110305716056
21.0420841683,-0.0965110257669,0.705775777711,0.0111020858951
22.4448897796,-0.0990130566682,0.742160461058,0.0114003986277
23.8476953908,-0.101602670006,0.778399625167,0.0116863475312
25.250501002,-0.104219030125,0.817012733001,0.0120048547422
26.6533066132,-0.107030162565,0.857844195628,0.0123984361335
28.0561122244,-0.109699841154,0.893175093923,0.0126587090827
29.4589178357,-0.112797158463,0.933618719181,0.0130178142006
30.8617234469,-0.115929235322,0.968370768645,0.0132729048381
32.2645290581,-0.118895728007,0.995476759289,0.0133669487643
33.6673346693,-0.122521117397,1.0218792077,0.0134027915225
35.0701402806,-0.126031534157,1.04362264413,0.0133725628533
36.4729458918,-0.129207905201,1.05998946005,0.0132688955653
37.875751503,-0.133527136806,1.06934318347,0.0129397457289
39.2785571142,-0.13740568581,1.07737321901,0.0126477472895
40.6813627255,-0.140937688867,1.08559237423,0.0124022884578
42.0841683367,-0.14541273462,1.08651685353,0.0119986113648
43.4869739479,-0.149956422354,1.0854035838,0.0115690873577
44.8897795591,-0.154148516214,1.0854992359,0.0111881273234
46.2925851703,-0.157332627682,1.09066874099,0.0109796913317
47.6953907816,-0.163355188272,1.08462211276,0.0105151625878
49.0981963928,-0.16805453237,1.08212206256,0.0101602318021
50.501002004,-0.172453425671,1.0805248949,0.00983115740514
51.9038076152,-0.175161653785,1.08539256646,0.00967490917537
53.3066132265,-0.181610081852,1.08208744367,0.00935678229641
54.7094188377,-0.187028519784,1.07975337108,0.00907090229058
56.1122244489,-0.191186422959,1.07957666402,0.0088368598167
57.5150300601,-0.193960186414,1.08224492696,0.00866770941797
58.9178356713,-0.196413508643,1.0867548326,0.00855362068061
60.3206412826,-0.204328099997,1.08341880621,0.00829841393262
61.7234468938,-0.207231413191,1.08540883898,0.00814803831123
63.126252505,-0.210134726312,1.08739887169,0.00799766268636
64.5290581162,-0.210280255291,1.09278708124,0.00791151735286
65.9318637275,-0.210434800225,1.09844578226,0.00784107214538
67.3346693387,-0.216515457588,1.09748799584,0.00767134825064
68.7374749499,-0.217610656913,1.10150519805,0.00757937369688
70.1402805611,-0.218312942574,1.10591448884,0.00749352671957
71.5430861723,-0.217926718716,1.111548152,0.00742639106914
72.9458917836,-0.213148713239,1.12212175903,0.00743474953435
74.3486973948,-0.214515929689,1.1250363145,0.00734444106488
75.751503006,-0.21573957843,1.12852555229,0.00726270150604
77.1543086172,-0.214257892823,1.13617226261,0.00723683433293
78.5571142285,-0.212776207343,1.14381897301,0.00721096716014
79.9599198397,-0.209903489993,1.15380959988,0.00721644100762
81.3627254509,-0.204281631612,1.16843258417,0.00728385512027
82.7655310621,-0.202963127155,1.17464753314,0.00724788735174
84.1683366733,-0.202050648832,1.18073483972,0.00721216493479
