y,p,k,epsilon
0,0.507791828736,0.443982494395,0.00148639424464
2.5250501002,0.507793899882,0.443999674403,0.00148401785308
5.0501002004,0.507749751143,0.444010243205,0.00148395142773
7.5751503006,0.507706605532,0.444021106907,0.00148388555111
10.1002004008,0.507656886979,0.444031495645,0.00148420052868
12.625250501,0.507568742216,0.444037990912,0.00148549022442
15.1503006012,0.507495097672,0.444043562627,0.00148389088792
17.6753507014,0.507429992296,0.444047982987,0.00148391076925
20.2004008016,0.507368890838,0.444052703405,0.00148393119276
22.7254509018,0.507315502396,0.444057414903,0.00148493764825
25.250501002,0.507279386769,0.444061821308,0.00148498334491
27.7755511022,0.507247777341,0.444065400615,0.00148399234224
30.3006012024,0.507215798814,0.444068575273,0.00148400795265
32.8256513026,0.507190901738,0.444071762047,0.00148402317239
35.3507014028,0.507166462481,0.444074905031,0.00148564352639
37.875751503,0.507151635434,0.444077765503,0.00148444589211
40.4008016032,0.50713748748,0.44407993934,0.00148406783537
42.9258517034,0.50712724852,0.444081960101,0.00148407963797
45.4509018036,0.507124581143,0.444083907708,0.00148409089276
47.9759519038,0.507121891706,0.444085574466,0.00148632551193
50.501002004,0.507130817357,0.444086939113,0.00148411287911
53.0260521042,0.507133679122,0.444087944833,0.00148412184643
55.5511022044,0.507146285185,0.444088893214,0.00148413033048
58.0761523046,0.507164417145,0.444089763613,0.00148448172176
60.6012024048,0.507181702518,0.444090331382,0.00148579879596
63.126252505,0.507205227844,0.444090713626,0.00148415418341
65.6513026052,0.507222973253,0.444090977152,0.00148416125588
68.1763527054,0.507257980622,0.444091215806,0.00148416782794
70.7014028056,0.50729316983,0.444091365202,0.00148513646082
73.2264529058,0.507329917742,0.4440913149,0.00148521454779
75.751503006,0.507366241049,0.444091156559,0.00148418756585
78.2765531062,0.50740068888,0.444090972412,0.00148419387184
80.8016032064,0.507456843104,0.44409081259,0.00148419980133
83.3266533066,0.507507156571,0.444090551308,0.00148578698029
85.8517034068,0.507562333411,0.444090146657,0.00148462717877
88.376753507,0.507609515186,0.444089690821,0.00148421895118
90.9018036072,0.507664855585,0.444089254652,0.00148422523242
93.4268537074,0.507738819039,0.444088861221,0.00148423129461
95.9519038076,0.507802567417,0.44408834618,0.00148643780316
98.4769539078,0.507874182801,0.444087710858,0.00148424488141
101.002004008,0.507931853185,0.444087064921,0.00148425177828
103.527054108,0.50800997704,0.444086475818,0.00148425848691
106.052104208,0.508099686148,0.444085905902,0.0014845846344
108.577154309,0.508179544636,0.444085191653,0.00148594886989
111.102204409,0.50826133453,0.444084401586,0.00148428030479
113.627254509,0.508331187873,0.444083607032,0.00148428796557
116.152304609,0.508434264745,0.444082911187,0.00148429536206
118.677354709,0.508536941591,0.444082174154,0.00148524141449
121.20240481,0.508633854664,0.444081299495,0.00148536886782
123.72745491,0.508723981262,0.444080375222,0.00148432011084
126.25250501,0.508809971928,0.444079460937,0.00148432869553
128.77755511,0.508936000889,0.444078668748,0.00148433698946
131.30260521,0.509050245894,0.444077767263,0.00148590319081
133.827655311,0.5091635816,0.444076745577,0.00148479401847
136.352705411,0.509260333383,0.44407569345,0.001484365259
138.877755511,0.509370575144,0.444074693263,0.00148437486911
141.402805611,0.509513703284,0.444073794466,0.00148438425379
143.927855711,0.50963801876,0.44407272296,0.00148657080511
146.452905812,0.509765139716,0.444071563223,0.00148440556192
148.977955912,0.509868468548,0.444070386904,0.00148441654855
151.503006012,0.510005615473,0.444069315326,0.00148442731087
154.028056112,0.510162864463,0.444068288549,0.00148473373205
156.553106212,0.510300001146,0.444067053721,0.00148615012303
159.078156313,0.510433062298,0.444065772794,0.00148446234834
161.603206413,0.51054638446,0.444064478033,0.00148447455591
164.128256513,0.510713465186,0.444063349817,0.00148448633115
166.653306613,0.510880487612,0.444062160767,0.00148541298306
169.178356713,0.511032613949,0.444060795554,0.00148559263216
171.703406814,0.511169272815,0.444059396145,0.00148452477013
174.228456914,0.511298357918,0.44405800535,0.00148453805715
176.753507014,0.511492384092,0.444056814859,0.00148455079075
179.278557114,0.51166745513,0.444055450618,0.00148609786016
181.803607214,0.511833601585,0.44405396272,0.00148504115481
184.328657315,0.511971451639,0.444052443318,0.00148459355765
