x,p,k,epsilon
0,1.21611080438,0.443982494395,0.00148639424464
2.07207207207,1.21656279474,0.444004906241,0.00148423619837
4.14414414414,1.21688525413,0.444023618007,0.00148399728121
6.21621621622,1.21719398469,0.444041937606,0.00148396177023
8.28828828829,1.21750271524,0.444060257206,0.00148392625926
10.3603603604,1.21776968321,0.444077140527,0.0014845376612
12.4324324324,1.21813601914,0.444090741078,0.0014857736173
14.5045045045,1.21924667881,0.444104451073,0.00148400686278
16.5765765766,1.2204038535,0.444119099753,0.00148405593993
18.6486486486,1.22156102819,0.444133748433,0.00148410501708
20.7207207207,1.22271820288,0.444148397113,0.00148415409423
22.7927927928,1.22391202646,0.444163292151,0.00148525595249
24.8648648649,1.2255448764,0.444178426301,0.00148565037917
26.9369369369,1.22774498349,0.444193979231,0.00148432190236
29.009009009,1.22995135525,0.444210399672,0.00148438241434
31.0810810811,1.23215772701,0.444226820112,0.00148444292632
33.1531531532,1.23436409878,0.444243240553,0.0014845034383
35.2252252252,1.23660407977,0.444260086286,0.00148604584916
37.2972972973,1.23950556649,0.444277140244,0.00148559972407
39.3693693694,1.24276966229,0.444295042428,0.00148471105752
41.4414414414,1.24601185453,0.444313672549,0.00148478443031
43.5135135135,1.24925404677,0.444332302671,0.00148485780309
45.5855855856,1.25249623901,0.444350932793,0.00148493117588
47.6576576577,1.2557453672,0.44437020528,0.00148691620007
49.7297297297,1.25994319468,0.444389654128,0.00148563071797
51.8018018018,1.26429502349,0.444410529928,0.00148518379722
53.8738738739,1.26863496134,0.444431900844,0.00148527174769
55.9459459459,1.27297489918,0.44445327176,0.00148535969815
58.018018018,1.27731802052,0.444474750957,0.00148573402065
60.0900900901,1.2817362525,0.444496910608,0.00148769982834
62.1621621622,1.28737421406,0.444519322582,0.00148575427587
64.2342342342,1.29297920359,0.444543964162,0.00148575155788
66.3063063063,1.29858237155,0.444568728918,0.00148585617327
68.3783783784,1.30418553951,0.444593493675,0.00148596078865
70.4504504505,1.3098038978,0.444618547944,0.00148678124936
72.5225225225,1.31582067845,0.444644248199,0.00148791157067
74.5945945946,1.32293033541,0.44467072105,0.00148630437996
76.6666666667,1.33001702928,0.444699705493,0.00148642823993
78.7387387387,1.33710372316,0.444728689936,0.00148655209989
80.8108108108,1.34419041703,0.444757674379,0.00148667595986
82.8828828829,1.3513080154,0.444787128216,0.00148794554575
84.954954955,1.35924728877,0.444817237848,0.00148824267811
87.027027027,1.36811505268,0.444849088128,0.00148708480002
89.0990990991,1.37697598729,0.444883392307,0.00148723122183
91.1711711712,1.3858369219,0.444917696486,0.00148737764364
93.2432432432,1.39469785651,0.444952000664,0.00148752406545
95.3153153153,1.40361130271,0.444986917079,0.00148924614992
97.3873873874,1.41393902834,0.445022623434,0.00148871338733
99.4594594595,1.42496822945,0.445061590941,0.00148800987811
101.531531532,1.43600594692,0.44510276055,0.00148818335405
103.603603604,1.44704366438,0.44514393016,0.00148835682999
105.675675676,1.45808138185,0.445185099769,0.00148853030594
107.747747748,1.46920179024,0.445226935337,0.00149070878024
109.81981982,1.48259249637,0.445269964257,0.00148935128331
111.891891892,1.49635657507,0.445318752325,0.00148910966346
113.963963964,1.51013705514,0.445369096531,0.00148931668427
116.036036036,1.52391753521,0.445419440736,0.00148952370507
118.108108108,1.53771811905,0.445469876023,0.00149010666901
120.18018018,1.55189317572,0.445520898261,0.00149201543204
122.252252252,1.56905645537,0.44557380781,0.00149019699086
124.324324324,1.58635717281,0.445636828238,0.00149042918912
126.396396396,1.60365912096,0.445699939205,0.00149067975018
128.468468468,1.62096106911,0.445763050173,0.00149093031123
130.540540541,1.63831056051,0.445826239802,0.00149198462494
132.612612613,1.65699071733,0.445890550695,0.00149308407774
134.684684685,1.67872484135,0.445960287847,0.00149173041359
136.756756757,1.70069887264,0.446042223879,0.00149204147451
138.828828829,1.72267290393,0.446124159911,0.00149235253542
140.900900901,1.74464693521,0.446206095944,0.00149266359634
142.972972973,1.76673999518,0.446288074207,0.00149420331816
145.045045045,1.79176811976,0.4463730666,0.00149451571448
147.117117117,1.81971681059,0.44647005584,0.00149367480128
149.189189189,1.84783060677,0.446580166285,0.00149407506904
151.261261261,1.87594440294,0.44669027673,0.00149447533681
