z,U_0,U_1,U_2
0,2.11962863071,0,0
1.40280561122,4.26923543125,0,0
2.80561122244,4.98278533306,0,0
4.20841683367,5.3632661133,0,0
5.61122244489,5.62800833694,0,0
7.01402805611,5.83218779028,0,0
8.41683366733,5.99102221698,0,0
9.81963927856,6.12832140499,0,0
11.2224448898,6.2502712207,0,0
12.625250501,6.35437150932,0,0
14.0280561122,6.44794726265,0,0
15.4308617234,6.53497212064,0,0
16.8336673347,6.61053663459,0,0
18.2364729459,6.68427473163,0,0
19.6392785571,6.74811100291,0,0
21.0420841683,6.81125591336,0,0
22.4448897796,6.86737796802,0,0
23.8476953908,6.92191311911,0,0
25.250501002,6.97299111554,0,0
26.6533066132,7.02041887165,0,0
28.0561122244,7.06784662776,0,0
29.4589178357,7.10977101788,0,0
30.8617234469,7.15125608841,0,0
32.2645290581,7.19218002394,0,0
33.6673346693,7.22864303076,0,0
35.0701402806,7.26510603759,0,0
36.4729458918,7.30149110988,0,0
37.875751503,7.3336717808,0,0
39.2785571142,7.36585245171,0,0
40.6813627255,7.39803312262,0,0
42.0841683367,7.42794066796,0,0
43.4869739479,7.45644178404,0,0
44.8897795591,7.48494290011,0,0
46.2925851703,7.51344401618,0,0
47.6953907816,7.53914461516,0,0
49.0981963928,7.56446335205,0,0
50.501002004,7.58978208895,0,0
51.9038076152,7.61510082584,0,0
53.3066132265,7.63828424425,0,0
54.7094188377,7.66083501708,0,0
56.1122244489,7.6833857899,0,0
57.5150300601,7.70593656273,0,0
58.9178356713,7.72786971571,0,0
60.3206412826,7.74800115263,0,0
61.7234468938,7.76813258954,0,0
63.126252505,7.78826402646,0,0
64.5290581162,7.80839546337,0,0
65.9318637275,7.82790868531,0,0
67.3346693387,7.84591645387,0,0
68.7374749499,7.86392422243,0,0
70.1402805611,7.88193199099,0,0
71.5430861723,7.89993975955,0,0
72.9458917836,7.91794752811,0,0
74.3486973948,7.93439391829,0,0
75.751503006,7.95053056493,0,0
77.1543086172,7.96666721157,0,0
78.5571142285,7.98280385821,0,0
79.9599198397,7.99894050485,0,0
81.3627254509,8.01507715149,0,0
82.7655310621,8.0298302028,0,0
84.1683366733,8.04431280386,0,0
85.5711422846,8.05879540492,0,0
86.9739478958,8.07327800598,0,0
88.376753507,8.08776060704,0,0
89.7795591182,8.1022432081,0,0
91.1823647295,8.11636874083,0,0
92.5851703407,8.12938492563,0,0
93.9879759519,8.14240111043,0,0
95.3907815631,8.15541729524,0,0
96.7935871743,8.16843348004,0,0
98.1963927856,8.18144966484,0,0
99.5991983968,8.19446584964,0,0
101.002004008,8.20748203445,0,0
102.404809619,8.21919940995,0,0
103.80761523,8.23091215661,0,0
105.210420842,8.24262490327,0,0
106.613226453,8.25433764993,0,0
108.016032064,8.26605039659,0,0
109.418837675,8.27776314324,0,0
110.821643287,8.2894758899,0,0
112.224448898,8.30115326359,0,0
113.627254509,8.31170475852,0,0
115.03006012,8.32225625345,0,0
116.432865731,8.33280774839,0,0
117.835671343,8.34335924332,0,0
119.238476954,8.35391073825,0,0
120.641282565,8.36446223318,0,0
122.044088176,8.37501372811,0,0
123.446893788,8.38556522305,0,0
124.849699399,8.39583243669,0,0
126.25250501,8.405347212,0,0
127.655310621,8.4148619873,0,0
129.058116232,8.4243767626,0,0
130.460921844,8.4338915379,0,0
131.863727455,8.4434063132,0,0
133.266533066,8.4529210885,0,0
134.669338677,8.4624358638,0,0
136.072144289,8.47195063911,0,0
137.4749499,8.48146541441,0,0
138.877755511,8.49037811029,0,0
140.280561122,8.4989656182,0,0
141.683366733,8.50755312611,0,0
143.086172345,8.51614063403,0,0
144.488977956,8.52472814194,0,0
145.891783567,8.53331564985,0,0
147.294589178,8.54190315776,0,0
148.69739479,8.55049066568,0,0
150.100200401,8.55907817359,0,0
151.503006012,8.5676656815,0,0
152.905811623,8.57619539763,0,0
154.308617234,8.58395214146,0,0
155.711422846,8.59170888529,0,0
157.114228457,8.59946562912,0,0
158.517034068,8.60722237295,0,0
159.919839679,8.61497911678,0,0
161.322645291,8.62273586061,0,0
162.725450902,8.63049260444,0,0
164.128256513,8.63824934827,0,0
165.531062124,8.6460060921,0,0
166.933867735,8.65376283593,0,0
168.336673347,8.66151957976,0,0
169.739478958,8.66894813417,0,0
171.142284569,8.67595944577,0,0
172.54509018,8.68297075736,0,0
173.947895792,8.68998206895,0,0
175.350701403,8.69699338054,0,0
176.753507014,8.70400469213,0,0
178.156312625,8.71101600372,0,0
179.559118236,8.71802731531,0,0
180.961923848,8.7250386269,0,0
182.364729459,8.73204993849,0,0
183.76753507,8.73906125009,0,0
185.170340681,8.74607256168,0,0
186.573146293,8.75308387327,0,0
187.975951904,8.75965494409,0,0
189.378757515,8.76599647645,0,0
190.781563126,8.7723380088,0,0
192.184368737,8.77867954116,0,0
193.587174349,8.78502107352,0,0
194.98997996,8.79136260588,0,0
196.392785571,8.79770413824,0,0
197.795591182,8.8040456706,0,0
199.198396794,8.81038720296,0,0
200.601202405,8.81672873532,0,0
202.004008016,8.82307026767,0,0
203.406813627,8.82941180003,0,0
204.809619238,8.83575333239,0,0
206.21242485,8.84209486475,0,0
207.615230461,8.84807114068,0,0
209.018036072,8.85381012858,0,0
210.420841683,8.85954911647,0,0
211.823647295,8.86528810436,0,0
213.226452906,8.87102709225,0,0
214.629258517,8.87676608015,0,0
216.032064128,8.88250506804,0,0
217.434869739,8.88824405593,0,0
218.837675351,8.89398304382,0,0
220.240480962,8.89972203171,0,0
221.643286573,8.90546101961,0,0
223.046092184,8.9112000075,0,0
224.448897796,8.91693899539,0,0
225.851703407,8.92267798328,0,0
227.254509018,8.92841697117,0,0
228.657314629,8.93406850628,0,0
230.06012024,8.93926483607,0,0
231.462925852,8.94446116587,0,0
232.865731463,8.94965749566,0,0
234.268537074,8.95485382546,0,0
235.671342685,8.96005015525,0,0
237.074148297,8.96524648505,0,0
238.476953908,8.97044281484,0,0
239.879759519,8.97563914464,0,0
