z,p,k,epsilon
0,0.978337578992,0.497210040147,0.249720280598
1.40280561122,1.00794696131,0.511130611229,0.132632381887
2.80561122244,1.00597908345,0.489656804008,0.0509810420473
4.20841683367,0.986863509622,0.472387295858,0.0305536290583
5.61122244489,0.95287066492,0.465694588509,0.021661380975
7.01402805611,0.908766862802,0.461992523296,0.0166491164168
8.41683366733,0.947776668302,0.460276640373,0.0133969176009
9.81963927856,0.984956699431,0.459084947713,0.0111618233177
11.2224448898,0.89500580493,0.458204544216,0.00975243387447
12.625250501,0.90830730118,0.458667997301,0.0085709779211
14.0280561122,0.93603469811,0.459814062689,0.00768690624767
15.4308617234,0.8431903754,0.462135559861,0.00705869211675
16.8336673347,0.957073482507,0.465039220412,0.00647589968295
18.2364729459,0.949618382298,0.470604566681,0.00609789785596
19.6392785571,0.923813787259,0.477869560004,0.00568122990268
21.0420841683,0.911452224575,0.485760954843,0.00537333445492
22.4448897796,0.909443358436,0.496117562963,0.0051534872526
23.8476953908,0.915155262407,0.509538523233,0.00498578411359
25.250501002,0.923597339121,0.525241350463,0.00486861001916
26.6533066132,0.93149198324,0.542455532307,0.00479751703547
28.0561122244,0.938846460127,0.561711748705,0.00477662108927
29.4589178357,0.951637228688,0.583498710896,0.00485571824462
30.8617234469,0.989795999815,0.610621790246,0.00502419145175
32.2645290581,1.06215484883,0.641341522371,0.00523761562769
33.6673346693,1.22261976191,0.662812688077,0.00520847093205
35.0701402806,1.40041071301,0.671738330498,0.00497270919582
36.4729458918,1.59081480728,0.670883769725,0.00457952444707
37.875751503,1.74193457245,0.663558475198,0.00427672946145
39.2785571142,1.88688304973,0.656622726176,0.00401001760051
40.6813627255,2.0185953633,0.650522473435,0.00382069674031
42.0841683367,2.12082965767,0.645074177431,0.00365964459175
43.4869739479,2.20482529892,0.640029260388,0.003516082873
44.8897795591,2.27534722206,0.635924217708,0.0033886469998
46.2925851703,2.34135126937,0.63213432454,0.00326661828796
47.6953907816,2.39358023084,0.629671713671,0.00316846257406
49.0981963928,2.44393090243,0.627390083229,0.0030735620421
50.501002004,2.48714981719,0.625894745034,0.00298918848644
51.9038076152,2.52886351184,0.624565360745,0.00290703674188
53.3066132265,2.56301065651,0.623825291499,0.00283688298173
54.7094188377,2.59491600706,0.623259822697,0.00277028394744
56.1122244489,2.62426092299,0.622944126743,0.00270727463912
57.5150300601,2.65117869712,0.622865200791,0.00264766818041
58.9178356713,2.67666700604,0.622868943633,0.00259061723474
60.3206412826,2.6979852895,0.623113847272,0.00254102121297
61.7234468938,2.71930357295,0.62335875091,0.0024914251912
63.126252505,2.73871359338,0.623774243517,0.00244520380814
64.5290581162,2.75756385701,0.624239775521,0.00239997231843
65.9318637275,2.77552499053,0.62474902281,0.00235673904344
67.3346693387,2.79132094851,0.625364723883,0.0023183717442
68.7374749499,2.80711690649,0.625980424955,0.00228000444496
70.1402805611,2.82226700732,0.626737343181,0.00224325568792
71.5430861723,2.83691535441,0.627603970241,0.00220776434454
72.9458917836,2.85156370151,0.628470597301,0.00217227300116
74.3486973948,2.86421634103,0.629553208983,0.00214096609776
75.751503006,2.87647307555,0.63067866732,0.00211048929631
77.1543086172,2.88872981006,0.631804125657,0.00208001249487
78.5571142285,2.89951938346,0.633282099847,0.0020515560846
79.9599198397,2.91002004061,0.63482949215,0.00202349753373
81.3627254509,2.92052069777,0.636376884453,0.00199543898285
82.7655310621,2.92909849074,0.638197949668,0.00197136197923
84.1683366733,2.93730042303,0.640072509504,0.0019480632454
85.5711422846,2.94550235531,0.64194706934,0.00192476451158
86.9739478958,2.95291893292,0.644040406604,0.0019031111412
88.376753507,2.95966648979,0.646320113987,0.001882859408
89.7795591182,2.96641404665,0.648599821369,0.00186260767481
91.1823647295,2.97252159445,0.650871579845,0.00184339641946
92.5851703407,2.9766407477,0.653118642478,0.00182741774414
93.9879759519,2.98075990095,0.655365705111,0.00181143906881
95.3907815631,2.98487905421,0.657612767744,0.00179546039348
96.7935871743,2.98599990907,0.659841152232,0.00178125006929
98.1963927856,2.98528288653,0.662058087512,0.00176812369744
99.5991983968,2.984565864,0.664275022793,0.00175499732559
101.002004008,2.98384884147,0.666491958073,0.00174187095374
102.404809619,2.97365211158,0.668811617499,0.00173273099267
103.80761523,2.9634215968,0.671131643024,0.00172360523883
105.210420842,2.95319108202,0.67345166855,0.001714479485
106.613226453,2.94238884908,0.67577538395,0.00170542703493
108.016032064,2.88966690457,0.678369649506,0.00170174938895
109.418837675,2.83694496005,0.680963915062,0.00169807174298
110.821643287,2.78422301554,0.683558180618,0.001694394097
112.224448898,2.73192630024,0.686184404147,0.0016909891305
113.627254509,2.69316411511,0.689827811203,0.00169626322117
115.03006012,2.65440192998,0.693471218258,0.00170153731184
116.432865731,2.61563974485,0.697114625314,0.0017068114025
117.835671343,2.57687755972,0.70075803237,0.00171208549317
119.238476954,2.44934402694,0.698686735421,0.00170175559664
120.641282565,2.27449974032,0.693569782845,0.00168310954385
122.044088176,2.09965545369,0.68845283027,0.00166446349107
123.446893788,1.92481116707,0.683335877694,0.00164581743828
124.849699399,1.75889876688,0.676084244015,0.00161829379974
126.25250501,1.61662736674,0.663182516545,0.00156727288467
127.655310621,1.4743559666,0.650280789074,0.0015162519696
129.058116232,1.33208456646,0.637379061604,0.00146523105453
130.460921844,1.18981316632,0.624477334133,0.00141421013946
131.863727455,1.12249634738,0.61392314681,0.00136982119281
133.266533066,1.14254908435,0.606105330456,0.00133316268938
134.669338677,1.16260182132,0.598287514102,0.00129650418596
136.072144289,1.18265455829,0.590469697749,0.00125984568254
137.4749499,1.20270729525,0.582651881395,0.00122318717911
138.877755511,1.19322280485,0.573435843316,0.00118377807141
140.280561122,1.16778501886,0.563464614364,0.00114288334006
141.683366733,1.14234723287,0.553493385413,0.00110198860871
143.086172345,1.11690944689,0.543522156462,0.00106109387737
144.488977956,1.0914716609,0.533550927511,0.00102019914602
145.891783567,1.05497029912,0.525679482312,0.000987937450811
147.294589178,0.998752036551,0.521550157079,0.00097106108128
148.69739479,0.942533773987,0.517420831847,0.000954184711749
150.100200401,0.886315511422,0.513291506614,0.000937308342218
151.503006012,0.830097248857,0.509162181381,0.000920431972687
152.905811623,0.777235909531,0.505109253758,0.000903726086634
154.308617234,0.769273836938,0.502078153688,0.000889300438354
155.711422846,0.761311764345,0.499047053618,0.000874874790074
157.114228457,0.753349691752,0.496015953548,0.000860449141794
158.517034068,0.74538761916,0.492984853478,0.000846023493514
159.919839679,0.737425546567,0.489953753408,0.000831597845234
161.322645291,0.727231762343,0.487231770791,0.000818358616125
162.725450902,0.710514993463,0.485413295769,0.00080858712628
164.128256513,0.693798224583,0.483594820747,0.000798815636435
165.531062124,0.677081455703,0.481776345725,0.00078904414659
166.933867735,0.660364686822,0.479957870703,0.000779272656745
