y,p,k,epsilon
0,0.198828364297,0.443982494395,0.00148639424464
2.5250501002,0.198826916755,0.443775858873,0.00148283404943
5.0501002004,0.198819438331,0.443588442835,0.00148175456695
7.5751503006,0.1988119201,0.443403117933,0.00148068723694
10.1002004008,0.198803502141,0.44321142053,0.00147996369974
12.625250501,0.19878963023,0.442979945693,0.00148000004268
15.1503006012,0.198775974442,0.44277449774,0.00147733608989
17.6753507014,0.198764808272,0.442591784674,0.00147641080333
20.2004008016,0.198753584768,0.442411872501,0.00147550155158
22.7254509018,0.198744243283,0.442221628341,0.00147548823704
25.250501002,0.198737078698,0.442030717291,0.0014745182989
27.7755511022,0.198729020426,0.441874255034,0.00147273156401
30.3006012024,0.198720851826,0.441730548648,0.00147200164208
32.8256513026,0.198712643557,0.441589348022,0.00147128584475
35.3507014028,0.198704592362,0.441441528337,0.00147206901404
37.875751503,0.198695568471,0.441318495823,0.00147024681838
40.4008016032,0.198688042357,0.441220690286,0.00146936092559
42.9258517034,0.198680822881,0.441126567986,0.00146887406941
45.4509018036,0.198673535939,0.441033886204,0.00146839526737
47.9759519038,0.198668732605,0.440938566396,0.00147002638438
50.501002004,0.198662947556,0.440882548331,0.00146757766078
53.0260521042,0.198658553996,0.440831126614,0.00146730000061
55.5511022044,0.198654052298,0.440780686251,0.00146702788902
58.0761523046,0.198649783065,0.44073044721,0.00146708582291
60.6012024048,0.198647052393,0.440686796105,0.00146809783841
63.126252505,0.198643788976,0.440670451626,0.0014664040002
65.6513026052,0.198641659363,0.440649983099,0.00146628051372
68.1763527054,0.198639288162,0.440630323289,0.00146616186354
70.7014028056,0.198637804514,0.440608120891,0.00146695465874
73.2264529058,0.198637083501,0.44059981099,0.00146696046229
75.751503006,0.198636444064,0.4406028371,0.00146596304957
78.2765531062,0.198636354073,0.440600340474,0.00146593239775
80.8016032064,0.198635909963,0.440598197885,0.00146590432116
83.3266533066,0.198636812949,0.440588608624,0.00146736109742
85.8517034068,0.19863742807,0.440601595511,0.00146629018106
88.376753507,0.198638724607,0.440609725787,0.00146591928657
90.9018036072,0.198640046228,0.440614952354,0.00146593322568
93.4268537074,0.198641029668,0.440620193695,0.00146594782944
95.9519038076,0.19864371055,0.440611488209,0.00146801363606
98.4769539078,0.198645336874,0.440635116023,0.0014660087027
