x,U_0,U_1,U_2
0,7.9994015519,0,0
2.07207207207,7.99976197357,1.04273407431e-10,0.000282992154518
4.14414414414,7.99978847893,3.53261091212e-05,0.000579790454424
6.21621621622,7.9997795929,6.62425127427e-05,0.000878052051029
8.28828828829,7.99977070687,2.71725531295e-05,0.00117631364685
10.3603603604,7.9996477217,-3.27898579334e-07,0.00147088921682
12.4324324324,7.99937872895,-9.56071173061e-07,0.00175708182908
14.5045045045,7.99950634282,4.51896666491e-06,0.00204530567342
16.5765765766,7.99933682059,4.45520856113e-05,0.00234844924671
18.6486486486,7.99916729836,5.95210450408e-05,0.0026515928198
20.7207207207,7.99899777613,1.94880988641e-05,0.00295473639246
22.7927927928,7.99865428164,-1.12219147639e-06,0.00325189785674
24.8648648649,7.99837285965,-1.48369710845e-06,0.00354362609786
26.9369369369,7.9983014757,1.35930070394e-05,0.0038418451282
29.009009009,7.99800449053,5.58615236284e-05,0.00415305005125
31.0810810811,7.99770750536,5.40238438e-05,0.00446425497408
33.1531531532,7.99741052019,1.17554839221e-05,0.00477545989669
35.2252252252,7.99686794414,-2.42489254761e-06,0.00507836889722
37.2972972973,7.99656600965,-1.57725125275e-06,0.00537878062069
39.3693693694,7.9962901287,2.43594186612e-05,0.00569136168669
41.4414414414,7.99585996146,7.02954233446e-05,0.006014353936
43.5135135135,7.99542979422,4.91250290028e-05,0.00633734618511
45.5855855856,7.99499962699,3.18917787796e-06,0.00666033843416
47.6576576577,7.99425324926,-4.30110176022e-06,0.00697254821598
49.7297297297,7.99391972033,-1.20502573866e-06,0.00728516491567
51.8018018018,7.99343045544,3.78719951166e-05,0.00761715087256
53.8738738739,7.99285565975,8.91202410705e-05,0.0079558947448
55.9459459459,7.99228086406,4.41110586912e-05,0.00829463861689
58.018018018,7.99165836487,-8.34149862756e-07,0.00863167980315
60.0900900901,7.99076310262,-6.31652601552e-06,0.00895825709819
62.1621621622,7.99035097092,-3.11852178675e-07,0.0092860599097
64.2342342342,7.98962814949,5.55539834773e-05,0.00964286064032
66.3063063063,7.98888816378,9.68431960173e-05,0.0100012633829
68.3783783784,7.98814817806,3.8222902933e-05,0.0103596661255
70.4504504505,7.98728787325,-2.61854814063e-06,0.0107132536586
72.5225225225,7.98632336499,-6.35200322565e-06,0.0110579116426
74.5945945946,7.98566696965,1.07398123038e-05,0.0114086027431
76.6666666667,7.9847334432,7.94150116657e-05,0.011790380433
78.7387387387,7.98379991676,9.91218664108e-05,0.0121721581231
80.8108108108,7.98286639031,3.04468308721e-05,0.0125539358131
82.8828828829,7.98173857216,-5.13954034567e-06,0.0129263766767
84.954954955,7.98066215859,-5.86243888165e-06,0.0132906216982
87.027027027,7.97970630844,3.00528891991e-05,0.0136705198244
89.0990990991,7.97854075812,0.000112371561832,0.0140791940519
91.1711711712,7.9773752078,0.000101634437428,0.0144878682795
93.2432432432,7.97620965748,1.93159306871e-05,0.0148965425072
95.3153153153,7.97477413613,-8.53069452768e-06,0.01528873236
97.3873873874,7.97352454677,-4.74915618555e-06,0.0156723175955
99.4594594595,7.97221573694,5.7881910771e-05,0.0160868747262
101.531531532,7.97076441337,0.000158761448863,0.0165257453945
103.603603604,7.9693130898,0.000103497134828,0.0169646160629
105.675675676,7.96786176623,2.6177628674e-06,0.0174034867312
107.747747748,7.96606198321,-1.29471085339e-05,0.0178141620423
109.81981982,7.96454932807,-2.88839477919e-06,0.0182141022613
111.891891892,7.96281185256,9.88995356446e-05,0.0186701223874
113.963963964,7.96100043661,0.000225294511106,0.0191421215824
116.036036036,7.95918902066,0.000103296044754,0.0196141207774
118.108108108,7.95731130429,-2.86447364358e-06,0.0200787419044
120.18018018,7.95515871276,-1.58313890961e-05,0.0205085578792
122.252252252,7.95323230698,-1.34414182173e-07,0.0209192722564
124.324324324,7.95095582833,0.000160355836332,0.0214262826243
126.396396396,7.9486762149,0.00026024164693,0.0219341552905
128.468468468,7.94639660147,9.84549842529e-05,0.0224420279566
130.540540541,7.94397077252,-7.19056393354e-06,0.0229274186565
132.612612613,7.94135289494,-1.47026373216e-05,0.023367391707
134.684684685,7.93874776016,4.2374610974e-05,0.0238084627768
136.756756757,7.93585759004,0.000254411149671,0.0243538354192
138.828828829,7.93296741993,0.00029681852161,0.0248992080616
140.900900901,7.93007724981,8.47821434124e-05,0.025444580704
142.972972973,7.92696392689,-1.28193999448e-05,0.0259392497314
145.045045045,7.9236676164,-1.26335040705e-05,0.026371552202
147.117117117,7.92016530176,0.000115659421221,0.026848992922
149.189189189,7.91641356633,0.000398765963302,0.0274324690598
151.261261261,7.91266183089,0.000337221158,0.0280159451979
153.333333333,7.90891009546,5.41147722362e-05,0.028599421336
155.405405405,7.90481305453,-2.0075966287e-05,0.0290821833714
157.477477477,7.90038850339,-9.49732060629e-06,0.0294791141346
159.54954955,7.89567079056,0.000241028676414,0.0300085014315
161.621621622,7.89083264069,0.000631530609341,0.0306355198628
163.693693694,7.88599449083,0.000383646894932,0.0312625382944
165.765765766,7.88115077993,-5.03551821202e-07,0.0318862704006
167.837837838,7.87599613828,-2.95350358988e-05,0.0323262559523
169.90990991,7.87013539865,-5.04747636745e-06,0.0326474727697
171.981981982,7.86368795489,0.000455897355691,0.0332056230619
174.054054054,7.85709058655,0.000979085591834,0.03381855712
176.126126126,7.84904129776,0.000427098155593,0.0345328532609
178.198198198,7.8406534122,6.99872622784e-09,0.0351457798832
180.27027027,7.83139991198,7.07025457188e-09,0.0354441429279
182.342342342,7.824094677,7.11957903969e-09,0.035956348056
