"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00042631,0.070049,0.43067,0.11476,0,0,0,1,0,7.65,0,0.817
0.00075359,0.063077,0.43088,0.10304,2.205,0.002765,0.00045179,1,0.0272,7.65,0.0272,0.817
0.0010809,0.056105,0.43108,0.091323,4.41,0.0055299,0.00090358,1,0.0544,7.65,0.0544,0.817
0.0014081,0.049133,0.43129,0.079607,6.615,0.0082949,0.0013554,1,0.0816,7.65,0.0816,0.817
0.0017354,0.042161,0.4315,0.06789,8.82,0.01106,0.0018072,1,0.1088,7.65,0.1088,0.817
0.0019443,0.035136,0.43162,0.056081,10.507,0.012936,0.002165,1,0.136,7.65,0.136,0.817
0.0017734,0.02797,0.43147,0.04405,10.534,0.011963,0.0022226,1,0.1632,7.65,0.1632,0.817
0.0016026,0.020805,0.43132,0.032019,10.562,0.010991,0.0022802,1,0.1904,7.65,0.1904,0.817
0.0014318,0.01364,0.43117,0.019988,10.59,0.010018,0.0023378,1,0.2176,7.65,0.2176,0.817
0.0012609,0.0064741,0.43101,0.0079572,10.618,0.0090449,0.0023954,1,0.2448,7.65,0.2448,0.817
0.0012632,0.002636,0.43057,0.0014883,10.629,0.0084713,0.0024311,1,0.272,7.65,0.272,0.817
0.0014567,0.0024738,0.42981,0.0011768,10.622,0.0083376,0.0024428,1,0.2992,7.65,0.2992,0.817
0.0016502,0.0023116,0.42905,0.00086523,10.615,0.0082039,0.0024545,1,0.3264,7.65,0.3264,0.817
0.0018436,0.0021495,0.42828,0.0005537,10.608,0.0080702,0.0024662,1,0.3536,7.65,0.3536,0.817
0.0020371,0.0019873,0.42752,0.00024217,10.602,0.0079365,0.0024779,1,0.3808,7.65,0.3808,0.817
0.002,0.0020134,0.42694,0.00020717,10.601,0.0084767,0.0025137,1,0.408,7.65,0.408,0.817
0.0018706,0.0021154,0.42643,0.0002838,10.603,0.0092861,0.0025592,1,0.4352,7.65,0.4352,0.817
0.0017412,0.0022174,0.42592,0.00036043,10.605,0.010095,0.0026047,1,0.4624,7.65,0.4624,0.817
0.0016118,0.0023194,0.42541,0.00043707,10.607,0.010905,0.0026501,1,0.4896,7.65,0.4896,0.817
0.0014824,0.0024214,0.4249,0.0005137,10.609,0.011714,0.0026956,1,0.5168,7.65,0.5168,0.817
0.0012971,0.0028857,0.42422,0.001434,10.613,0.010688,0.0027085,1,0.544,7.65,0.544,0.817
0.0011088,0.003368,0.42353,0.0023965,10.617,0.0095707,0.0027198,1,0.5712,7.65,0.5712,0.817
0.00092048,0.0038504,0.42283,0.003359,10.622,0.0084531,0.0027311,1,0.5984,7.65,0.5984,0.817
0.00073218,0.0043328,0.42214,0.0043216,10.626,0.0073356,0.0027425,1,0.6256,7.65,0.6256,0.817
0.00059119,0.0058214,0.42145,0.0093283,10.605,0.0068823,0.0027555,1,0.6528,7.65,0.6528,0.817
0.00065107,0.011586,0.42076,0.031523,10.481,0.0092503,0.002776,1,0.68,7.65,0.68,0.817
0.00071095,0.01735,0.42007,0.053717,10.356,0.011618,0.0027964,1,0.7072,7.65,0.7072,0.817
0.00077083,0.023115,0.41938,0.075911,10.231,0.013986,0.0028168,1,0.7344,7.65,0.7344,0.817
0.00083071,0.028879,0.41869,0.098106,10.106,0.016354,0.0028372,1,0.7616,7.65,0.7616,0.817
0.00093357,0.034644,0.41783,0.11791,9.8528,0.017931,0.0027567,1,0.7888,7.65,0.7888,0.817
0.0010935,0.040403,0.41672,0.13452,9.4288,0.018452,0.0025415,1,0.816,7.65,0.816,0.817
0.0012534,0.046162,0.41561,0.15112,9.0049,0.018973,0.0023263,1,0.8432,7.65,0.8432,0.817
0.0014134,0.05192,0.4145,0.16772,8.5809,0.019494,0.0021111,1,0.8704,7.65,0.8704,0.817
