"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0030105,0.013079,0.46847,0.0051953,6.5288,-0.0015314,-0.0038564,1,1.4688,6.75,1.4688,0.817
0.0028623,0.013328,0.46874,0.005814,6.5288,-0.0026916,-0.0034942,1,1.496,6.75,1.496,0.817
0.0027141,0.013577,0.46902,0.0064327,6.5288,-0.0038518,-0.003132,1,1.5232,6.75,1.5232,0.817
0.0025652,0.013826,0.46928,0.0070559,6.5289,-0.005014,-0.0027703,1,1.5504,6.75,1.5504,0.817
0.0024003,0.017163,0.46962,0.018795,6.5269,-0.0048668,-0.0022824,1,1.5776,6.75,1.5776,0.817
0.0022333,0.021016,0.46998,0.032383,6.5246,-0.0044996,-0.0017728,1,1.6048,6.75,1.6048,0.817
0.0020664,0.024868,0.47033,0.045971,6.5224,-0.0041323,-0.0012633,1,1.632,6.75,1.632,0.817
0.0018994,0.02872,0.47069,0.05956,6.5201,-0.0037651,-0.00075377,1,1.6592,6.75,1.6592,0.817
0.001742,0.032586,0.47107,0.073707,6.5472,-0.0037067,-0.0002381,1,1.6864,6.75,1.6864,0.817
0.0016505,0.03604,0.47191,0.091715,6.8498,-0.00642,0.00032883,1,1.7136,6.75,1.7136,0.817
0.001559,0.039494,0.47276,0.10972,7.1524,-0.0091333,0.00089576,1,1.7408,6.75,1.7408,0.817
0.0014676,0.042948,0.47361,0.12773,7.455,-0.011847,0.0014627,1,1.768,6.75,1.768,0.817
0.0013761,0.046402,0.47445,0.14574,7.7577,-0.01456,0.0020296,1,1.7952,6.75,1.7952,0.817
0.0012767,0.047241,0.47574,0.1535,8.1039,-0.016211,0.0024659,1,1.8224,6.75,1.8224,0.817
0.0011528,0.04272,0.47803,0.14041,8.5372,-0.01567,0.0026414,1,1.8496,6.75,1.8496,0.817
0.0010288,0.038199,0.48032,0.12733,8.9706,-0.015129,0.0028168,1,1.8768,6.75,1.8768,0.817
0.00090481,0.033678,0.48262,0.11425,9.4039,-0.014588,0.0029923,1,1.904,6.75,1.904,0.817
0.00078084,0.029157,0.48491,0.10117,9.8372,-0.014047,0.0031678,1,1.9312,6.75,1.9312,0.817
0.00070912,0.024475,0.48705,0.084593,10.095,-0.012506,0.0032349,1,1.9584,6.75,1.9584,0.817
0.00067902,0.019758,0.48925,0.065645,10.221,-0.010202,0.003217,1,1.9856,6.75,1.9856,0.817
0.00064893,0.015041,0.49144,0.046697,10.347,-0.0078985,0.0031991,1,2.0128,6.75,2.0128,0.817
0.00061884,0.010324,0.49364,0.027748,10.473,-0.0055949,0.0031812,1,2.04,6.75,2.04,0.817
0.00058831,0.005592,0.49579,0.0087556,10.599,-0.0032892,0.0031633,1,2.0672,6.75,2.0672,0.817
0.00074274,0.0042932,0.4975,0.0042953,10.62,-0.0038369,0.0031617,1,2.0944,6.75,2.0944,0.817
0.00094155,0.0038312,0.4992,0.003341,10.615,-0.00506,0.0031639,1,2.1216,6.75,2.1216,0.817
0.0011404,0.0033692,0.50089,0.0023867,10.61,-0.0062832,0.0031661,1,2.1488,6.75,2.1488,0.817
0.0013392,0.0029072,0.50259,0.0014324,10.606,-0.0075063,0.0031683,1,2.176,6.75,2.176,0.817
0.0015368,0.0024613,0.5042,0.00052007,10.601,-0.008627,0.0031673,1,2.2032,6.75,2.2032,0.817
0.00172,0.0023499,0.50595,0.0004383,10.599,-0.0078338,0.0031194,1,2.2304,6.75,2.2304,0.817
0.0019032,0.0022385,0.50769,0.00035653,10.597,-0.0070406,0.0030716,1,2.2576,6.75,2.2576,0.817
0.0020865,0.0021271,0.50944,0.00027476,10.595,-0.0062474,0.0030237,1,2.2848,6.75,2.2848,0.817
0.0022697,0.0020157,0.51119,0.00019299,10.593,-0.0054542,0.0029759,1,2.312,6.75,2.312,0.817
0.0023418,0.0019513,0.51271,0.00017364,10.592,-0.0049797,0.0029389,1,2.3392,6.75,2.3392,0.817
0.0021433,0.0020031,0.51398,0.00030977,10.595,-0.0053165,0.0029287,1,2.3664,6.75,2.3664,0.817
0.0019448,0.0020548,0.51525,0.00044589,10.598,-0.0056532,0.0029186,1,2.3936,6.75,2.3936,0.817
0.0017463,0.0021066,0.51653,0.00058201,10.601,-0.0059899,0.0029084,1,2.4208,6.75,2.4208,0.817
0.0015478,0.0021583,0.5178,0.00071814,10.604,-0.0063267,0.0028983,1,2.448,6.75,2.448,0.817
0.0014817,0.0048085,0.51877,0.0045252,10.596,-0.0068688,0.002865,1,2.4752,6.75,2.4752,0.817
0.0015357,0.0098136,0.51957,0.011659,10.577,-0.0076224,0.0028108,1,2.5024,6.75,2.5024,0.817
0.0015897,0.014819,0.52037,0.018792,10.558,-0.008376,0.0027566,1,2.5296,6.75,2.5296,0.817
0.0016436,0.019824,0.52116,0.025926,10.539,-0.0091296,0.0027023,1,2.5568,6.75,2.5568,0.817
0.0016986,0.024846,0.52195,0.033094,10.52,-0.0098856,0.0026481,1,2.584,6.75,2.584,0.817
0.0014976,0.02993,0.52261,0.040425,8.8328,-0.00843,0.0022199,1,2.6112,6.75,2.6112,0.817
0.0012141,0.034848,0.52337,0.047416,6.6246,-0.0063225,0.0016649,1,2.6384,6.75,2.6384,0.817
0.00093071,0.039767,0.52413,0.054408,4.4164,-0.004215,0.00111,1,2.6656,6.75,2.6656,0.817
0.00064728,0.044685,0.52489,0.061399,2.2082,-0.0021075,0.00055498,1,2.6928,6.75,2.6928,0.817
0.00036385,0.049604,0.52565,0.06839,0,0,0,1,2.72,6.75,2.72,0.817
