---code V3.c---
Turbine, Uinf(upstream), Uinf(U_dCenter), Cp(U_dCenter), Ct(U_dCenter), Power(U_dCenter), Thrust(U_dCenter) , Average Ud, Center  Ud , Uinf(disc cells), Power(disc cells), Thrust(disc cells)
Dir: 290
Finalising parallel run
disk0,7.95956,8.05739,0.00043926,0.724769,895.335,183345,6.02071,6.16748,8.09627,913.67,185481
disk1,7.96199,8.062,0.00043911,0.724188,896.567,183408,5.99094,6.17297,8.06961,904.495,184122
Dir: 292
Finalising parallel run
disk0,7.95769,8.04203,0.000439758,0.726704,891.234,183134,6.00541,6.14919,8.08581,911.475,185518
disk1,7.96201,8.03029,0.000440136,0.728184,888.098,182972,5.96542,6.13521,8.04799,899.705,184174
Dir: 294
Finalising parallel run
disk0,7.95786,8.1187,0.000437234,0.717044,911.707,184162,6.06427,6.24049,8.13591,922.423,185274
disk1,7.96204,8.10667,0.000437636,0.718559,908.495,184005,6.0067,6.22617,8.08332,905.814,183296
Dir: 296
Finalising parallel run
disk0,7.95525,8.0284,0.000440197,0.728422,887.594,182946,6.01433,6.13296,8.0957,914.638,186336
disk1,7.96209,7.93741,0.000442691,0.735693,862.618,180607,5.93389,6.041,8.02396,895.904,184897
Dir: 298
Finalising parallel run
disk0,7.95371,8.16257,0.00043575,0.711516,923.421,184722,6.06562,6.29274,8.13529,919.272,183831
disk1,7.96216,8.10114,0.000437821,0.719256,907.017,183932,6.00361,6.21958,8.07893,904.795,183280
Dir: 300
Finalising parallel run
disk0,7.95017,8.17927,0.000435178,0.709412,927.879,184930,6.06319,6.31262,8.134,917.652,183231
disk1,7.96226,8.07213,0.000438778,0.722912,899.27,183545,5.98698,6.18503,8.06682,902.875,183671
Dir: 302
Finalising parallel run
disk0,7.94746,7.9243,0.000443013,0.736467,858.972,180200,6.00681,6.02882,8.08884,918.914,188128
disk1,7.96239,7.98766,0.000441421,0.732728,876.582,182164,5.96135,6.08768,8.04629,901.34,185216
Dir: 304
Finalising parallel run
disk0,7.94359,8.00756,0.000440861,0.731048,882.029,182653,6.01575,6.10814,8.09347,915.485,186919
disk1,7.96258,7.97345,0.000441786,0.733566,872.633,181724,5.98054,6.07448,8.06551,908.136,186284
Dir: 306
Finalising parallel run
disk0,7.94034,7.84376,0.000444897,0.741218,836.591,177695,5.91868,5.95401,8.00457,894.329,185419
disk1,7.96279,7.91771,0.000443173,0.736855,857.143,179996,5.97809,6.02271,8.06271,910.462,187019
Dir: 308
Finalising parallel run
disk0,7.93758,7.82165,0.000445385,0.742523,830.446,177006,5.83613,5.93347,7.91666,867.558,181788
disk1,7.96309,8.00434,0.000440963,0.731454,881.169,182607,5.98465,6.1043,8.06801,907.35,185867
Dir: 310
Finalising parallel run
disk0,7.93514,7.56833,0.000449944,0.757468,760.047,169062,5.66497,5.69816,7.74263,821.392,177490
disk1,7.9634,8.02013,0.000440461,0.729463,885.387,182830,5.98286,6.12312,8.06855,906.32,185373
Dir: 312
Finalising parallel run
disk0,7.93274,7.31205,0.000452178,0.772589,688.824,160956,5.44254,5.46011,7.49844,752.454,169991
disk1,7.96373,8.01636,0.000440581,0.729939,884.378,182777,6.00682,6.11862,8.0907,913.624,186485
Dir: 314
Finalising parallel run
disk0,7.93128,6.9673,0.000451139,0.791,594.545,149619,5.21046,5.14609,7.23128,675.753,162057
disk1,7.96395,8.02536,0.000440294,0.728804,886.783,182903,6.03028,6.12934,8.1121,920.021,187163
Dir: 316
Finalising parallel run
disk0,7.9299,6.60186,0.000454955,0.791,510.092,134335,4.99384,4.87617,6.97369,612.346,150803
disk1,7.96396,8.02591,0.000440276,0.728735,886.93,182911,6.03085,6.13,8.11264,920.158,187169
Dir: 318
Finalising parallel run
disk0,7.93157,6.33123,0.00045258,0.791,447.549,123547,4.81863,4.67628,6.74921,550.941,141141
disk1,7.96378,8.00876,0.000440823,0.730896,882.351,182670,6.01454,6.10957,8.0987,916.703,187090
Dir: 320
Finalising parallel run
disk0,7.92688,6.23959,0.000450442,0.791,426.372,119997,4.72478,4.6086,6.62217,516.302,135735
disk1,7.96348,8.0776,0.000438599,0.722222,900.733,183619,6.02989,6.19155,8.11143,916.619,185467
Dir: 322
Finalising parallel run
disk0,7.92724,6.32728,0.000452504,0.791,446.638,123394,4.73579,4.67337,6.6384,522.911,136439
disk1,7.96318,8.06615,0.000438974,0.723666,897.673,183464,6.01437,6.17791,8.09213,911.343,184986
Dir: 324
Finalising parallel run
disk0,7.92786,6.42869,0.000454063,0.791,470.072,127380,4.83245,4.74826,6.77196,558.049,142068
disk1,7.96291,8.0124,0.000440707,0.730437,883.322,182721,5.99479,6.11391,8.07502,909.146,185929
Dir: 326
Finalising parallel run
disk0,7.9271,6.67334,0.000454757,0.791,526.611,137260,4.97777,4.92897,6.94729,607.695,149874
disk1,7.96267,7.99205,0.000441307,0.732469,877.802,182300,6.0046,6.09176,8.086,913.845,186936
