"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00049085,0.095316,0.33944,0.18214,0,0,0,1,0,8.55,0,0.817
0.0008688,0.085933,0.34,0.16388,2.2009,0.0031351,0.00042994,1,0.0272,8.55,0.0272,0.817
0.0012488,0.076452,0.34056,0.14533,4.4017,0.0062823,0.00085952,1,0.0544,8.55,0.0544,0.817
0.0016287,0.06697,0.34113,0.12677,6.6025,0.0094295,0.0012891,1,0.0816,8.55,0.0816,0.817
0.0020087,0.057488,0.3417,0.10822,8.8032,0.012577,0.0017187,1,0.1088,8.55,0.1088,0.817
0.0022328,0.04802,0.34212,0.089799,10.489,0.014722,0.0020603,1,0.136,8.55,0.136,0.817
0.0019414,0.038189,0.34206,0.070653,10.527,0.013652,0.0021209,1,0.1632,8.55,0.1632,0.817
0.0016497,0.028351,0.342,0.051485,10.565,0.012583,0.0021815,1,0.1904,8.55,0.1904,0.817
0.001358,0.018513,0.34194,0.032318,10.603,0.011513,0.002242,1,0.2176,8.55,0.2176,0.817
0.0010663,0.008675,0.34189,0.01315,10.641,0.010443,0.0023026,1,0.2448,8.55,0.2448,0.817
0.0010008,0.0033715,0.34152,0.0028299,10.656,0.009854,0.0023405,1,0.272,8.55,0.272,0.817
0.001183,0.0030409,0.34081,0.0022126,10.645,0.0097972,0.0023534,1,0.2992,8.55,0.2992,0.817
0.0013653,0.0027103,0.34011,0.0015954,10.634,0.0097404,0.0023663,1,0.3264,8.55,0.3264,0.817
0.0015475,0.0023796,0.3394,0.0009781,10.623,0.0096837,0.0023792,1,0.3536,8.55,0.3536,0.817
0.0017298,0.002049,0.33869,0.00036084,10.612,0.0096269,0.0023921,1,0.3808,8.55,0.3808,0.817
0.0017267,0.0020198,0.33832,0.00023377,10.61,0.010152,0.0024265,1,0.408,8.55,0.408,0.817
0.0016522,0.0021105,0.33809,0.00030229,10.612,0.010906,0.0024692,1,0.4352,8.55,0.4352,0.817
0.0015777,0.0022012,0.33785,0.00037081,10.613,0.011661,0.002512,1,0.4624,8.55,0.4624,0.817
0.0015032,0.0022919,0.33762,0.00043932,10.615,0.012416,0.0025547,1,0.4896,8.55,0.4896,0.817
0.0014287,0.0023826,0.33738,0.00050784,10.617,0.01317,0.0025975,1,0.5168,8.55,0.5168,0.817
0.0012551,0.0028748,0.33681,0.0014705,10.621,0.012218,0.0026166,1,0.544,8.55,0.544,0.817
0.001077,0.0033885,0.33622,0.0024803,10.625,0.011185,0.0026347,1,0.5712,8.55,0.5712,0.817
0.00089883,0.0039021,0.33563,0.0034901,10.629,0.010151,0.0026529,1,0.5984,8.55,0.5984,0.817
0.00072069,0.0044157,0.33504,0.0045,10.633,0.0091171,0.002671,1,0.6256,8.55,0.6256,0.817
0.00059345,0.0061263,0.33448,0.010156,10.613,0.0087278,0.0026899,1,0.6528,8.55,0.6528,0.817
0.00068745,0.013095,0.33407,0.036077,10.489,0.011072,0.0027124,1,0.68,8.55,0.68,0.817
0.00078179,0.020076,0.33367,0.062035,10.366,0.013416,0.0027349,1,0.7072,8.55,0.7072,0.817
0.00087613,0.027057,0.33326,0.087993,10.242,0.01576,0.0027574,1,0.7344,8.55,0.7344,0.817
0.00097048,0.034038,0.33285,0.11395,10.119,0.018103,0.0027798,1,0.7616,8.55,0.7616,0.817
0.0011102,0.041074,0.3322,0.13754,9.8708,0.019713,0.0026897,1,0.7888,8.55,0.7888,0.817
0.0013145,0.048323,0.33123,0.15837,9.4578,0.020356,0.0024474,1,0.816,8.55,0.816,0.817
