"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0021966,0.012237,0.2244,0.0077574,6.5651,-0.0039013,-0.0042605,1,1.496,9.45,1.496,0.817
0.0020045,0.012621,0.22451,0.0091979,6.5649,-0.0050142,-0.0039307,1,1.5232,9.45,1.5232,0.817
0.0018123,0.013004,0.22462,0.010638,6.5647,-0.0061272,-0.0036009,1,1.5504,9.45,1.5504,0.817
0.0018159,0.020284,0.22467,0.033118,6.5879,-0.0066598,-0.0031077,1,1.5776,9.45,1.5776,0.817
0.0018597,0.028892,0.22471,0.059589,6.6161,-0.0071207,-0.0025864,1,1.6048,9.45,1.6048,0.817
0.0019035,0.0375,0.22476,0.08606,6.6443,-0.0075816,-0.0020651,1,1.632,9.45,1.632,0.817
0.0019473,0.046108,0.2248,0.11253,6.6725,-0.0080426,-0.0015438,1,1.6592,9.45,1.6592,0.817
0.0019953,0.054551,0.22488,0.13912,6.7271,-0.0087814,-0.0010194,1,1.6864,9.45,1.6864,0.817
0.0020867,0.061542,0.22529,0.16714,7.0326,-0.01217,-0.00046535,1,1.7136,9.45,1.7136,0.817
0.0021816,0.068617,0.2257,0.1954,7.3382,-0.015566,8.8699e-05,1,1.7408,9.45,1.7408,0.817
0.0022766,0.075693,0.22611,0.22365,7.6438,-0.018962,0.00064274,1,1.768,9.45,1.768,0.817
0.0023715,0.082769,0.22652,0.2519,7.9494,-0.022358,0.0011968,1,1.7952,9.45,1.7952,0.817
0.0023515,0.084569,0.22714,0.26239,8.2873,-0.024362,0.0016528,1,1.8224,9.45,1.8224,0.817
0.0020949,0.075596,0.22815,0.23672,8.6884,-0.023558,0.0019144,1,1.8496,9.45,1.8496,0.817
0.0018366,0.066569,0.22915,0.2109,9.0892,-0.02275,0.0021765,1,1.8768,9.45,1.8768,0.817
0.0015784,0.057542,0.23016,0.18508,9.49,-0.021941,0.0024386,1,1.904,9.45,1.904,0.817
0.0013201,0.048515,0.23117,0.15925,9.8908,-0.021133,0.0027007,1,1.9312,9.45,1.9312,0.817
0.0011358,0.039985,0.2318,0.13137,10.132,-0.019473,0.0028004,1,1.9584,9.45,1.9584,0.817
0.0010012,0.031635,0.23211,0.10138,10.254,-0.017182,0.0027782,1,1.9856,9.45,1.9856,0.817
0.00086662,0.023285,0.23242,0.071396,10.377,-0.014891,0.0027559,1,2.0128,9.45,2.0128,0.817
0.00073203,0.014936,0.23274,0.041411,10.499,-0.012599,0.0027337,1,2.04,9.45,2.04,0.817
0.00059743,0.0065861,0.23305,0.011427,10.621,-0.010308,0.0027114,1,2.0672,9.45,2.0672,0.817
0.0007083,0.0045488,0.23358,0.0048361,10.641,-0.010646,0.0026891,1,2.0944,9.45,2.0944,0.817
0.0008759,0.0039924,0.23415,0.0037407,10.637,-0.011594,0.0026662,1,2.1216,9.45,2.1216,0.817
0.0010435,0.0034359,0.23472,0.0026454,10.634,-0.012542,0.0026432,1,2.1488,9.45,2.1488,0.817
0.0012111,0.0028794,0.23528,0.00155,10.63,-0.01349,0.0026202,1,2.176,9.45,2.176,0.817
0.0013724,0.0023456,0.23583,0.00050407,10.626,-0.014359,0.0025964,1,2.2032,9.45,2.2032,0.817
0.0014063,0.0022673,0.23599,0.00044699,10.625,-0.013658,0.0025559,1,2.2304,9.45,2.2304,0.817
0.0014375,0.0021899,0.23614,0.00039095,10.623,-0.01296,0.0025155,1,2.2576,9.45,2.2576,0.817
0.0014688,0.0021125,0.23629,0.0003349,10.622,-0.012263,0.002475,1,2.2848,9.45,2.2848,0.817
0.0015,0.0020351,0.23644,0.00027886,10.621,-0.011566,0.0024346,1,2.312,9.45,2.312,0.817
0.0014741,0.0021319,0.23675,0.00053104,10.624,-0.011075,0.0024018,1,2.3392,9.45,2.3392,0.817
0.0013071,0.0026938,0.23744,0.0016162,10.639,-0.011099,0.0023883,1,2.3664,9.45,2.3664,0.817
0.0011407,0.0032654,0.23814,0.002722,10.654,-0.011122,0.0023747,1,2.3936,9.45,2.3936,0.817
0.0009743,0.003837,0.23884,0.0038278,10.669,-0.011146,0.0023612,1,2.4208,9.45,2.4208,0.817
0.00080792,0.0044086,0.23953,0.0049336,10.684,-0.011169,0.0023477,1,2.448,9.45,2.448,0.817
0.00093148,0.011229,0.23989,0.019763,10.666,-0.011751,0.0023081,1,2.4752,9.45,2.4752,0.817
0.0013333,0.024199,0.23995,0.048597,10.617,-0.012841,0.0022447,1,2.5024,9.45,2.5024,0.817
0.0017354,0.037174,0.24001,0.077446,10.567,-0.01393,0.0021814,1,2.5296,9.45,2.5296,0.817
0.0021374,0.050149,0.24007,0.10629,10.518,-0.01502,0.002118,1,2.5568,9.45,2.5568,0.817
0.0025394,0.063123,0.24013,0.13514,10.468,-0.016109,0.0020546,1,2.584,9.45,2.584,0.817
0.0023016,0.075649,0.23958,0.16316,8.7834,-0.013746,0.0017132,1,2.6112,9.45,2.6112,0.817
0.001864,0.088035,0.23885,0.19092,6.5877,-0.010305,0.0012849,1,2.6384,9.45,2.6384,0.817
0.0014263,0.10042,0.23811,0.21867,4.3919,-0.0068628,0.00085652,1,2.6656,9.45,2.6656,0.817
0.00098865,0.11281,0.23737,0.24643,2.1962,-0.003421,0.00042818,1,2.6928,9.45,2.6928,0.817
0.0005555,0.12496,0.23665,0.2734,0,0,0,1,2.72,9.45,2.72,0.817
