"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0020066,0.012155,0.10797,0.0089322,6.5836,-0.00412,-0.0042426,1,1.496,10.35,1.496,0.817
0.0018214,0.012685,0.10802,0.010825,6.5838,-0.0052129,-0.0039159,1,1.5232,10.35,1.5232,0.817
0.0016363,0.013216,0.10806,0.012718,6.584,-0.0063058,-0.0035892,1,1.5504,10.35,1.5504,0.817
0.0017151,0.022281,0.10803,0.040029,6.6173,-0.007063,-0.0030986,1,1.5776,10.35,1.5776,0.817
0.001851,0.033085,0.10802,0.072426,6.6578,-0.0078045,-0.002579,1,1.6048,10.35,1.6048,0.817
0.0019869,0.04389,0.10802,0.10482,6.6984,-0.008546,-0.0020593,1,1.632,10.35,1.632,0.817
0.0021228,0.054694,0.10801,0.13722,6.7389,-0.0092876,-0.0015396,1,1.6592,10.35,1.6592,0.817
0.0022593,0.065257,0.10804,0.16952,6.8046,-0.010291,-0.0010174,1,1.6864,10.35,1.6864,0.817
0.0024037,0.073589,0.10842,0.2011,7.1103,-0.013784,-0.00047164,1,1.7136,10.35,1.7136,0.817
0.0025535,0.082067,0.10882,0.23305,7.4158,-0.017288,7.5095e-05,1,1.7408,10.35,1.7408,0.817
0.0027034,0.090545,0.10923,0.265,7.7214,-0.020793,0.00062183,1,1.768,10.35,1.768,0.817
0.0028532,0.099023,0.10963,0.29695,8.027,-0.024297,0.0011686,1,1.7952,10.35,1.7952,0.817
0.0028488,0.10108,0.11023,0.308,8.3605,-0.026312,0.0016239,1,1.8224,10.35,1.8224,0.817
0.0025309,0.090109,0.11125,0.27679,8.7488,-0.025337,0.0018981,1,1.8496,10.35,1.8496,0.817
0.0022082,0.078991,0.11227,0.24516,9.1362,-0.024349,0.0021738,1,1.8768,10.35,1.8768,0.817
0.0018856,0.067874,0.1133,0.21353,9.5236,-0.023362,0.0024496,1,1.904,10.35,1.904,0.817
0.0015629,0.056756,0.11432,0.18189,9.911,-0.022374,0.0027254,1,1.9312,10.35,1.9312,0.817
0.001325,0.046485,0.11492,0.14917,10.146,-0.020676,0.0028327,1,1.9584,10.35,1.9584,0.817
0.0011454,0.03668,0.11519,0.11519,10.267,-0.018453,0.0028146,1,1.9856,10.35,1.9856,0.817
0.000964,0.026822,0.11545,0.081062,10.388,-0.016233,0.0027968,1,2.0128,10.35,2.0128,0.817
0.00078264,0.016964,0.11571,0.046935,10.509,-0.014012,0.002779,1,2.04,10.35,2.04,0.817
0.00060127,0.0071053,0.11598,0.012807,10.63,-0.011792,0.0027613,1,2.0672,10.35,2.0672,0.817
0.0006942,0.0047383,0.1165,0.0053344,10.65,-0.012081,0.0027378,1,2.0944,10.35,2.0944,0.817
0.00084983,0.0041249,0.11705,0.0041127,10.647,-0.012949,0.0027123,1,2.1216,10.35,2.1216,0.817
