"nut":
"k": turbulencia
"p": presion
"epsilon"
"U:0" = U_x (paralelo al viento)
"U:1" = U_y
"U:2" = U_z
"Points:0" = coordenada_x
"Points:1" = coordenada_y
"Points:2" = coordenada_z (vale siempre lo mismo ya estos son datos para un plano en z)

"nut","k","p","epsilon","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.0035984,0.0020841,0.60174,0.00011715,10.52,0.05881,0.011016,4.9267,2.3314,0.817
0.0025325,0.0018051,0.6137,0.00018544,10.523,0.028512,0.0092768,5.0564,2.461,0.817
0.0025744,0.0017895,0.76263,0.0001737,10.509,0.03936,0.010481,4.9267,2.461,0.817
0.0015899,0.012747,0.68928,0.011468,10.471,0.012306,0.0089605,5.0564,2.5905,0.817
0.0015797,0.012029,0.85546,0.010463,10.456,0.017738,0.010101,4.9267,2.5905,0.817
0.00025161,0.022327,0.88355,0.020653,0,0,0,4.9267,2.72,0.817
0.00025887,0.023737,0.71182,0.022639,0,0,0,5.0564,2.72,0.817
0.0021649,0.0030971,0.48405,0.00069514,10.535,0.10415,0.013133,4.7971,2.2019,0.817
0.001272,0.010875,0.094671,0.010728,10.594,0.13293,0.014248,4.7971,2.0724,0.817
0.0037054,0.0020702,0.76573,0.00011076,10.504,0.079191,0.01238,4.7971,2.3314,0.817
0.0026158,0.0017724,0.96051,0.00016287,10.49,0.052499,0.011731,4.7971,2.461,0.817
0.001571,0.011351,1.0707,0.0095445,10.438,0.024224,0.011278,4.7971,2.5905,0.817
0.00024453,0.020998,1.104,0.018836,0,0,0,4.7971,2.72,0.817
0.0023492,0.0029959,0.6504,0.00056964,10.518,0.13919,0.014761,4.6674,2.2019,0.817
0.0013365,0.0094321,0.15681,0.0078841,10.586,0.17843,0.016055,4.6674,2.0724,0.817
0.0038308,0.0020491,0.98636,0.00010346,10.483,0.10374,0.013768,4.6674,2.3314,0.817
0.0026547,0.0017525,1.2147,0.00015276,10.465,0.067996,0.012977,4.6674,2.461,0.817
0.0015635,0.010713,1.3427,0.0087058,10.413,0.031727,0.012441,4.6674,2.5905,0.817
0.00023763,0.019746,1.3814,0.017177,0,0,0,4.6674,2.72,0.817
0.0025942,0.0028732,0.87552,0.00044325,10.492,0.18238,0.016398,4.5378,2.2019,0.817
0.0014598,0.0080446,0.24408,0.0054254,10.571,0.24242,0.017944,4.5378,2.0724,0.817
0.0039725,0.0020176,1.2776,9.5319e-05,10.453,0.13225,0.015129,4.5378,2.3314,0.817
0.0026881,0.001728,1.5391,0.00014319,10.433,0.085642,0.014162,4.5378,2.461,0.817
0.001557,0.010112,1.6842,0.0079414,10.382,0.040169,0.01353,4.5378,2.5905,0.817
0.00023093,0.01857,1.7278,0.015665,0,0,0,4.5378,2.72,0.817
0.0029143,0.0027242,1.2103,0.00032432,10.454,0.23433,0.018006,4.4081,2.2019,0.817
0.0016786,0.0066989,0.40523,0.003389,10.54,0.3207,0.019969,4.4081,2.0724,0.817
0.0041162,0.0019698,1.6886,8.6566e-05,10.412,0.16448,0.016398,4.4081,2.3314,0.817
0.0027115,0.0016965,1.9671,0.00013394,10.392,0.10472,0.015213,4.4081,2.461,0.817
0.0015512,0.0095457,2.1142,0.0072456,10.342,0.04913,0.014468,4.4081,2.5905,0.817
0.00022442,0.017466,2.1577,0.01429,0,0,0,4.4081,2.72,0.817
0.0033135,0.0025408,1.8598,0.00022357,10.39,0.29199,0.019473,4.2785,2.2019,0.817
0.0020428,0.005455,1.0466,0.0018968,10.466,0.41044,0.022189,4.2785,2.0724,0.817
0.0042307,0.0018965,2.3018,7.732e-05,10.354,0.19728,0.017436,4.2785,2.3314,0.817
0.0027194,0.001655,2.5281,0.00012477,10.339,0.12244,0.016018,4.2785,2.461,0.817
0.0015456,0.0090131,2.6389,0.0066129,10.294,0.057118,0.015161,4.2785,2.5905,0.817
0.00021811,0.016432,2.6706,0.013039,0,0,0,4.2785,2.72,0.817
0.0037944,0.0023096,2.9332,0.00014545,10.294,0.33547,0.020406,4.1488,2.2019,0.817
0.0026438,0.0043083,2.5953,0.00092479,10.326,0.49046,0.0239,4.1488,2.0724,0.817
0.0042753,0.0017899,3.1083,6.7742e-05,10.28,0.21942,0.018018,4.1488,2.3314,0.817
0.0027081,0.0016021,3.1912,0.00011559,10.277,0.13315,0.016443,4.1488,2.461,0.817
0.0015405,0.0085111,3.2284,0.0060366,10.239,0.061692,0.015522,4.1488,2.5905,0.817
0.00021198,0.015461,3.2377,0.011901,0,0,0,4.1488,2.72,0.817
0.0042552,0.0020288,4.111,9.1963e-05,10.186,0.33557,0.020386,4.0192,2.2019,0.817
0.0037146,0.0032205,4.427,0.00035462,10.156,0.50337,0.02389,4.0192,2.0724,0.817
0.0042206,0.0016584,3.9495,5.8731e-05,10.201,0.21858,0.017991,4.0192,2.3314,0.817
0.0026821,0.0015424,3.8674,0.00010667,10.212,0.13231,0.016418,4.0192,2.461,0.817
0.0015365,0.0080363,3.826,0.0055092,10.183,0.061288,0.015505,4.0192,2.5905,0.817
0.000206,0.014545,3.8116,0.010859,0,0,0,4.0192,2.72,0.817
0.0043635,0.0017433,5.0248,6.3188e-05,10.096,0.29386,0.01952,3.8895,2.2019,0.817
0.0045183,0.0023183,5.6768,0.00011603,10.03,0.42745,0.022338,3.8895,2.0724,0.817
0.0040939,0.0015323,4.6698,5.1641e-05,10.13,0.19661,0.017414,3.8895,2.3314,0.817
0.0026555,0.0014858,4.478,9.8518e-05,10.153,0.12102,0.015969,3.8895,2.461,0.817
0.0015347,0.0075856,4.3809,0.0050234,10.131,0.056461,0.015123,3.8895,2.5905,0.817
0.00020012,0.013675,4.3495,0.0098995,0,0,0,3.8895,2.72,0.817
0.0041696,0.001533,5.6289,5.0791e-05,10.035,0.2374,0.018206,3.7599,2.2019,0.817
0.0044308,0.001761,6.3204,6.3442e-05,9.9651,0.32259,0.02036,3.7599,2.0724,0.817
0.0039677,0.0014378,5.2232,4.6905e-05,10.075,0.16513,0.016443,3.7599,2.3314,0.817
0.0026412,0.0014401,4.9883,9.1488e-05,10.103,0.10398,0.015178,3.7599,2.461,0.817
0.0015362,0.0071565,4.8645,0.0045737,10.084,0.048969,0.014428,3.7599,2.5905,0.817
0.00019431,0.012844,4.8243,0.0090109,0,0,0,3.7599,2.72,0.817
0.0075844,0.11875,0.19298,0.18995,6.583,-0.007447,-0.0042556,7.6494,1.5543,0.817
