z,p,k,epsilon
0,0.97833621947,0.497210040129,0.249720280758
1.40280561122,1.00794560148,0.511130611046,0.132632381973
2.80561122244,1.00597772352,0.489656803484,0.0509810420428
4.20841683367,0.986862149868,0.472387295197,0.0305536290443
5.61122244489,0.952869305405,0.465694587867,0.0216613809683
7.01402805611,0.908765503702,0.461992522647,0.0166491164152
8.41683366733,0.947775308905,0.460276639735,0.0133969175983
9.81963927856,0.984955339743,0.459084947165,0.011161823318
11.2224448898,0.895004446083,0.45820454358,0.009752433876
12.625250501,0.908305942325,0.458667996693,0.00857097792312
14.0280561122,0.936033339252,0.459814062114,0.00768690625051
15.4308617234,0.84318901719,0.462135559184,0.00705869211857
16.8336673347,0.957072124086,0.465039219826,0.00647589968629
18.2364729459,0.949617024067,0.470604566044,0.00609789785912
19.6392785571,0.923812429614,0.477869559289,0.00568122990523
21.0420841683,0.911450867579,0.485760954075,0.00537333445689
22.4448897796,0.909442002006,0.496117562149,0.00515348725415
23.8476953908,0.915153906555,0.509538522375,0.00498578411479
25.250501002,0.923595983918,0.525241349565,0.00486861002006
26.6533066132,0.931490628772,0.542455531374,0.00479751703611
28.0561122244,0.938845106504,0.56171174774,0.00477662108962
29.4589178357,0.951635875725,0.583498709897,0.00485571824467
30.8617234469,0.989794647405,0.610621789207,0.00502419145163
32.2645290581,1.06215349689,0.641341521291,0.00523761562756
33.6673346693,1.22261841045,0.662812686977,0.00520847093218
35.0701402806,1.400409362,0.671738329388,0.00497270919606
36.4729458918,1.5908134567,0.670883768613,0.00457952444729
37.875751503,1.7419332221,0.663558474088,0.0042767294615
39.2785571142,1.88688169965,0.656622725075,0.00401001760043
40.6813627255,2.01859401353,0.650522472355,0.00382069674023
42.0841683367,2.12082830826,0.645074176376,0.00365964459169
43.4869739479,2.2048239499,0.64002925936,0.00351608287298
44.8897795591,2.27534587352,0.635924216708,0.00338864699982
46.2925851703,2.34134992132,0.632134323567,0.00326661828803
47.6953907816,2.39357888332,0.629671712721,0.00316846257416
49.0981963928,2.44392955544,0.627390082302,0.00307356204223
50.501002004,2.48714847078,0.625894744129,0.0029891884866
51.9038076152,2.52886216603,0.624565359862,0.00290703674206
53.3066132265,2.56300931128,0.623825290636,0.00283688298193
54.7094188377,2.59491466243,0.623259821854,0.00277028394766
56.1122244489,2.62425957898,0.622944125919,0.00270727463935
57.5150300601,2.65117735377,0.622865199988,0.00264766818065
58.9178356713,2.67666566333,0.62286894285,0.002590617235
60.3206412826,2.69798394744,0.623113846509,0.00254102121324
61.7234468938,2.71930223155,0.623358750167,0.00249142519148
63.126252505,2.73871225266,0.623774242794,0.00244520380842
64.5290581162,2.757562517,0.624239774818,0.00239997231873
65.9318637275,2.77552365121,0.624749022127,0.00235673904375
67.3346693387,2.79131960987,0.625364723217,0.00231837174452
68.7374749499,2.80711556853,0.625980424307,0.00228000444529
70.1402805611,2.82226567006,0.62673734255,0.00224325568826
71.5430861723,2.83691401786,0.627603969626,0.00220776434489
72.9458917836,2.85156236567,0.628470596702,0.00217227300152
74.3486973948,2.8642150059,0.629553208397,0.00214096609813
75.751503006,2.87647174111,0.630678666747,0.00211048929669
77.1543086172,2.88872847632,0.631804125096,0.00208001249525
78.5571142285,2.89951805046,0.633282099298,0.002051556085
79.9599198397,2.91001870836,0.63482949161,0.00202349753414
81.3627254509,2.92051936626,0.636376883923,0.00199543898328
82.7655310621,2.92909715997,0.638197949144,0.00197136197968
84.1683366733,2.93729909297,0.640072508986,0.00194806324587
85.5711422846,2.94550102598,0.641947068827,0.00192476451206
86.9739478958,2.95291760434,0.644040406095,0.0019031111417
88.376753507,2.95966516197,0.646320113479,0.00188285940851
89.7795591182,2.96641271959,0.648599820863,0.00186260767533
91.1823647295,2.97252026816,0.650871579339,0.00184339641999
92.5851703407,2.97663942216,0.65311864197,0.00182741774466
93.9879759519,2.98075857617,0.655365704601,0.00181143906933
95.3907815631,2.98487773017,0.657612767232,0.001795460394
96.7935871743,2.98599858581,0.659841151718,0.0017812500698
98.1963927856,2.98528156406,0.662058086997,0.00176812369794
99.5991983968,2.98456454231,0.664275022276,0.00175499732607
101.002004008,2.98384752056,0.666491957555,0.00174187095421
102.404809619,2.97365079144,0.668811616983,0.00173273099312
103.80761523,2.96342027744,0.671131642511,0.00172360523927
105.210420842,2.95318976344,0.673451668039,0.00171447948541
106.613226453,2.94238753127,0.675775383441,0.00170542703534
108.016032064,2.88966558762,0.678369649002,0.00170174938935
109.418837675,2.83694364396,0.680963914563,0.00169807174335
110.821643287,2.7842217003,0.683558180125,0.00169439409736
112.224448898,2.73192498586,0.686184403659,0.00169098913085
113.627254509,2.69316280156,0.689827810723,0.00169626322151
115.03006012,2.65440061727,0.693471217787,0.00170153731216
116.432865731,2.61563843297,0.697114624851,0.00170681140282
117.835671343,2.57687624867,0.700758031915,0.00171208549347
119.238476954,2.44934271667,0.698686734986,0.00170175559695
120.641282565,2.2744984308,0.693569782437,0.00168310954418
122.044088176,2.09965414492,0.688452829888,0.00166446349142
123.446893788,1.92480985905,0.683335877338,0.00164581743866
124.849699399,1.75889745955,0.676084243688,0.00161829380014
126.25250501,1.61662605997,0.663182516251,0.00156727288513
127.655310621,1.47435466038,0.650280788815,0.00151625197012
129.058116232,1.33208326079,0.637379061378,0.0014652310551
130.460921844,1.1898118612,0.624477333942,0.00141421014009
131.863727455,1.12249504273,0.613923146643,0.00136982119348
133.266533066,1.14254778007,0.606105330304,0.00133316269007
134.669338677,1.16260051741,0.598287513965,0.00129650418667
136.072144289,1.18265325475,0.590469697626,0.00125984568327
137.4749499,1.20270599209,0.582651881288,0.00122318717987
138.877755511,1.19322150226,0.573435843219,0.00118377807213
140.280561122,1.16778371696,0.563464614277,0.00114288334073
141.683366733,1.14234593167,0.553493385335,0.00110198860934
143.086172345,1.11690814637,0.543522156393,0.00106109387794
144.488977956,1.09147036108,0.533550927451,0.00102019914654
145.891783567,1.05496899985,0.525679482259,0.00098793745129
147.294589178,0.998750737596,0.521550157029,0.000971061081749
148.69739479,0.942532475344,0.517420831799,0.000954184712207
150.100200401,0.886314213092,0.513291506568,0.000937308342666
151.503006012,0.830095950841,0.509162181338,0.000920431973124
152.905811623,0.777234611822,0.505109253718,0.00090372608706
154.308617234,0.769272539464,0.502078153651,0.000889300438764
155.711422846,0.761310467106,0.499047053583,0.000874874790467
157.114228457,0.753348394748,0.496015953516,0.000860449142171
158.517034068,0.74538632239,0.492984853448,0.000846023493874
159.919839679,0.737424250032,0.489953753381,0.000831597845578
161.322645291,0.727230466052,0.487231770767,0.000818358616457
162.725450902,0.710513697441,0.485413295746,0.000808587126613
164.128256513,0.69379692883,0.483594820726,0.000798815636769
165.531062124,0.677080160219,0.481776345706,0.000789044146925
166.933867735,0.660363391608,0.479957870686,0.00077927265708
168.336673347,0.643646622997,0.478139395666,0.000769501167236
169.739478958,0.632694458207,0.476487134483,0.000760130292784
171.142284569,0.6290711087,0.475046188867,0.000751268739752
172.54509018,0.625447759194,0.47360524325,0.00074240718672
173.947895792,0.621824409687,0.472164297634,0.000733545633687
