y,U_0,U_1,U_2
0,7.9994015519,0,0
2.5250501002,8.00219365409,7.49838518418e-06,-0.00016941416231
5.0501002004,8.00498575629,1.49967703684e-05,-0.00033882832462
7.5751503006,8.00777785848,2.24951555525e-05,-0.00050824248693
10.1002004008,8.01059415749,3.0145394585e-05,-0.000676254426762
12.625250501,8.01331025666,3.84452207431e-05,-0.000828181431484
15.1503006012,8.01529482195,4.60385298262e-05,-0.00095598459546
17.6753507014,8.01727938724,5.36318389093e-05,-0.00108378775944
20.2004008016,8.01926395253,6.12251479923e-05,-0.00121159092341
22.7254509018,8.0212819917,6.89982116337e-05,-0.00133604920932
25.250501002,8.0229952934,7.15239838559e-05,-0.00144027534981
27.7755511022,8.02434562836,6.84203342301e-05,-0.00152911323334
30.3006012024,8.02569596332,6.53166846044e-05,-0.00161795111687
32.8256513026,8.02704629828,6.22130349787e-05,-0.0017067890004
35.3507014028,8.02841063371,5.85477428695e-05,-0.00179075995252
37.875751503,8.02940918768,4.70073552628e-05,-0.00185458004957
40.4008016032,8.03027842373,3.28493361532e-05,-0.00191236387456
42.9258517034,8.03114765978,1.86913170436e-05,-0.00197014769955
45.4509018036,8.03201689583,4.53329793396e-06,-0.00202793152455
47.9759519038,8.0328744832,-1.11499810649e-05,-0.00207996587636
50.501002004,8.03341559506,-3.52637253435e-05,-0.00211520742317
53.0260521042,8.03395367777,-5.94567140041e-05,-0.00215029435286
55.5511022044,8.03449176049,-8.36497026647e-05,-0.00218538128254
58.0761523046,8.0350263452,-0.000108109261782,-0.00221975954838
60.6012024048,8.03549535155,-0.000135376793729,-0.00224721254279
63.126252505,8.03582481536,-0.000166271890661,-0.00226674849778
65.6513026052,8.03615427918,-0.000197166987592,-0.00228628445277
68.1763527054,8.03648374299,-0.000228062084524,-0.00230582040777
70.7014028056,8.03680370677,-0.000259599600659,-0.002323873041
73.2264529058,8.03706198669,-0.0002932388404,-0.00233645631032
75.751503006,8.03727102501,-0.000328016687317,-0.00234575774687
78.2765531062,8.03748006333,-0.000362794534234,-0.00235505918342
80.8016032064,8.03768910164,-0.000397572381151,-0.00236436061997
83.3266533066,8.03788636954,-0.000433151850093,-0.00237196515614
85.8517034068,8.03804431849,-0.000469493279706,-0.00237579602862
88.376753507,8.03819045568,-0.000505942475102,-0.00237861306261
90.9018036072,8.03833659286,-0.000542391670498,-0.00238143009659
93.4268537074,8.03848273005,-0.000578840865893,-0.00238424713057
95.9519038076,8.03861836244,-0.000616093963105,-0.00238555315672
98.4769539078,8.03873658965,-0.000652870998257,-0.00238440207856
101.002004008,8.03885450666,-0.000689636664891,-0.00238320728301
103.527054108,8.03897242367,-0.000726402331524,-0.00238201248747
106.052104208,8.03908949772,-0.000763257087462,-0.00238069269585
108.577154309,8.03920036451,-0.000800455484821,-0.00237818579302
111.102204409,8.03930969483,-0.000836761966589,-0.00237455101958
113.627254509,8.03941902515,-0.000873068448357,-0.00237091624614
116.152304609,8.03952835546,-0.000909374930124,-0.00236728147271
118.677354709,8.03963658739,-0.000945907115265,-0.00236348057449
121.20240481,8.03974534268,-0.000982121800191,-0.00235890149345
123.72745491,8.03985668361,-0.00101757421582,-0.0023537704063
126.25250501,8.03996802454,-0.00105302663146,-0.00234863931915
128.77755511,8.04007936546,-0.00108847904709,-0.002343508232
131.30260521,8.04019032699,-0.00112429899941,-0.00233833158974
133.827655311,8.04030697494,-0.00115914522211,-0.00233248893164
136.352705411,8.04042588029,-0.00119353504339,-0.00232640265242
138.877755511,8.04054478563,-0.00122792486467,-0.0023203163732
141.402805611,8.04066369098,-0.00126231468595,-0.00231423009398
143.927855711,8.04078329421,-0.00129724660232,-0.00230829611856
146.452905812,8.04091239205,-0.00133049842109,-0.00230156429417
148.977955912,8.0410417661,-0.001363698457,-0.00229480833827
151.503006012,8.04117114014,-0.00139689849291,-0.00228805238237
154.028056112,8.04130071201,-0.00143017831811,-0.00228133651459
156.553106212,8.04143403201,-0.00146362076279,-0.00227472770213
159.078156313,8.04157545806,-0.00149552270952,-0.00226743528823
161.603206413,8.0417168841,-0.00152742465625,-0.00226014287434
164.128256513,8.04185831015,-0.00155932660298,-0.00225285046044
166.653306613,8.04200055904,-0.00159149614211,-0.00224572230984
169.178356713,8.04214925441,-0.00162312915429,-0.00223843866486
171.703406814,8.04230368758,-0.00165361904077,-0.00223065199762
174.228456914,8.04245812075,-0.00168410892725,-0.00222286533038
176.753507014,8.04261255392,-0.00171459881373,-0.00221507866314
179.278557114,8.04276862947,-0.00174557236089,-0.00220761447909
181.803607214,8.04293359647,-0.00177518622624,-0.00219961744897
184.328657315,8.04310170623,-0.00180413435448,-0.00219132602673
186.853707415,8.04326981598,-0.00183308248272,-0.00218303460449
189.378757515,8.04343792574,-0.00186203061096,-0.00217474318224
191.903807615,8.04360865118,-0.00189170644752,-0.00216695389066
194.428857715,8.04379055566,-0.00191906296712,-0.00215815794092
196.953907816,8.04397288617,-0.00194632298573,-0.00214931891713
199.478957916,8.04415521668,-0.00197358300434,-0.00214047989333
202.004008016,8.04433791401,-0.0020009412967,-0.00213170939426
204.529058116,8.04452599228,-0.00202852786214,-0.00212324018533
207.054108216,8.04472303223,-0.00205393774651,-0.00211378938721
209.579158317,8.04492007218,-0.00207934763089,-0.00210433858908
212.104208417,8.04511711212,-0.00210475751527,-0.00209488779096
214.629258517,8.04531547188,-0.0021305118128,-0.00208567638927
217.154308617,8.04552145631,-0.0021555202098,-0.00207627357577
219.679358717,8.04573366469,-0.00217890424538,-0.00206613006777
222.204408818,8.04594587307,-0.00220228828096,-0.00205598655978
224.729458918,8.04615808145,-0.00222567231654,-0.00204584305179
227.254509018,8.04637273056,-0.00224968261326,-0.00203612925901
229.779559118,8.04659712776,-0.0022718125941,-0.0020256396212
232.304609218,8.04682493828,-0.002292982875,-0.0020147069477
234.829659319,8.0470527488,-0.0023141531559,-0.00200377427421
237.354709419,8.04728055932,-0.00233532343681,-0.00199284160071
