y,p,k,epsilon
0,0.301593461062,0.443982494395,0.00148639424464
2.5250501002,0.301574415388,0.443926194805,0.00148605509274
5.0501002004,0.301555369715,0.443869895215,0.00148571594084
7.5751503006,0.301536324042,0.443813595625,0.00148537678893
10.1002004008,0.301517343333,0.44375204974,0.00148501291671
12.625250501,0.301494522927,0.443668141862,0.00148457181077
15.1503006012,0.301458889113,0.443608886495,0.00148433235375
17.6753507014,0.301423255298,0.443549631129,0.00148409289673
20.2004008016,0.301387621483,0.443490375762,0.0014838534397
22.7254509018,0.301352243832,0.443420108607,0.00148356049488
25.250501002,0.30131305723,0.443356559044,0.00148329226952
27.7755511022,0.301269587667,0.44331708389,0.00148313291914
30.3006012024,0.301226118104,0.443277608736,0.00148297356876
32.8256513026,0.30118264854,0.443238133582,0.00148281421838
35.3507014028,0.301139216776,0.443188900243,0.0014826071086
37.875751503,0.301083216706,0.4431613933,0.00148249467472
40.4008016032,0.301022858775,0.443143289773,0.00148242422795
42.9258517034,0.300962500844,0.443125186247,0.00148235378118
45.4509018036,0.300902142914,0.44310708272,0.0014822833344
47.9759519038,0.300841610765,0.443083836287,0.00148219031925
50.501002004,0.300765941677,0.443079480259,0.00148217956026
53.0260521042,0.300690127249,0.443075311999,0.00148216961909
55.5511022044,0.300614312822,0.44307114374,0.00148215967792
58.0761523046,0.300538456304,0.44306680753,0.00148214964907
60.6012024048,0.300458160157,0.443063134854,0.00148214600964
63.126252505,0.30036450318,0.443064961192,0.00148216457885
65.6513026052,0.300270846202,0.44306678753,0.00148218314805
68.1763527054,0.300177189225,0.443068613868,0.00148220171726
70.7014028056,0.300083332102,0.44307047786,0.00148222275276
73.2264529058,0.299980437771,0.4430727382,0.00148224800708
75.751503006,0.299868313204,0.443075354505,0.00148227355628
78.2765531062,0.299756188636,0.44307797081,0.00148229910548
80.8016032064,0.299644064069,0.443080587115,0.00148232465468
83.3266533066,0.299531483169,0.443083226486,0.00148235361263
85.8517034068,0.29940485929,0.44308465537,0.00148237819184
88.376753507,0.299273225256,0.443085639206,0.00148240045881
90.9018036072,0.299141591221,0.443086623042,0.00148242272578
93.4268537074,0.299009957187,0.443087606878,0.00148244499275
95.9519038076,0.298877452728,0.443088298625,0.00148246937664
98.4769539078,0.298726096831,0.443087017752,0.00148248556314
101.002004008,0.298574377187,0.443085699347,0.00148250158488
103.527054108,0.298422657543,0.443084380942,0.00148251760661
106.052104208,0.298270779214,0.443082983625,0.00148253361413
108.577154309,0.298113400947,0.443080692157,0.00148254822683
111.102204409,0.297941114882,0.443077200277,0.00148255845953
113.627254509,0.297768828816,0.443073708396,0.00148256869223
116.152304609,0.297596542751,0.443070216515,0.00148257892493
118.677354709,0.297423698186,0.443066435531,0.00148258851142
121.20240481,0.297240721827,0.443061673294,0.00148259579529
123.72745491,0.297047622505,0.44305636072,0.00148260172882
126.25250501,0.296854523183,0.443051048145,0.00148260766235
128.77755511,0.296661423861,0.44304573557,0.00148261359588
131.30260521,0.296467263227,0.443039898518,0.00148261786648
133.827655311,0.296258540737,0.44303326868,0.0014826209972
136.352705411,0.296044506755,0.443026457408,0.00148262407686
138.877755511,0.295830472773,0.443019646136,0.00148262715652
141.402805611,0.295616438791,0.443012834864,0.00148263023618
143.927855711,0.295400749083,0.443005252667,0.00148263046912
146.452905812,0.295166334625,0.442997171632,0.00148263172994
148.977955912,0.294931376672,0.442989079293,0.00148263303343
151.503006012,0.294696418719,0.442980986954,0.00148263433691
154.028056112,0.294461214179,0.442972784449,0.00148263519877
156.553106212,0.29422006691,0.442963709895,0.00148263335441
159.078156313,0.293964285169,0.442954453791,0.0014826335975
161.603206413,0.293708503429,0.442945197687,0.00148263384059
164.128256513,0.293452721688,0.442935941584,0.00148263408368
166.653306613,0.293196111644,0.442926322703,0.00148263280203
169.178356713,0.292929492543,0.442916014805,0.00148263054097
171.703406814,0.292653074931,0.442905637917,0.00148263018026
174.228456914,0.292376657319,0.442895261029,0.00148262981954
176.753507014,0.292100239706,0.442884884141,0.00148262945882
179.278557114,0.291822322715,0.442873851723,0.0014826262677
181.803607214,0.291530657198,0.442862364644,0.00148262437261
184.328657315,0.291233870056,0.442850860869,0.00148262370908
186.853707415,0.290937082915,0.442839357095,0.00148262304555
189.378757515,0.290640295774,0.44282785332,0.00148262238203
191.903807615,0.290341242888,0.442815349253,0.00148261733939
194.428857715,0.290025100629,0.442802681815,0.00148261640513
