z,U_0,U_1,U_2
0,0,0,0
1.40280561122,4.63122236063,0.000195542404482,-0.0456081826328
2.80561122244,5.28150020745,0.000447619156001,-0.0872822280969
4.20841683367,5.61887104896,0.000579538598949,-0.128210811946
5.61122244489,5.86271611562,0.000865878280114,-0.164463846824
7.01402805611,6.05563716813,0.00123920826785,-0.195183475194
8.41683366733,6.21174336855,0.000617265622051,-0.245995665332
9.81963927856,6.34422597559,0.000108170027932,-0.30094947897
11.2224448898,6.45335080258,0.000894603234278,-0.316555467896
12.625250501,6.54842025935,0.000615767351698,-0.363004881948
14.0280561122,6.62855867389,0.000352462822508,-0.416553448096
15.4308617234,6.70381433224,0.00104254317761,-0.423971261479
16.8336673347,6.76143734084,0.000130025940133,-0.514249340222
18.2364729459,6.81637624731,1.45869911014e-08,-0.567099466458
19.6392785571,6.88072294314,1.48950533769e-08,-0.631514154566
21.0420841683,6.93340488154,1.5003702037e-08,-0.698351737823
22.4448897796,6.9824137925,1.4971622956e-08,-0.767979017188
23.8476953908,7.03299786938,1.48454693618e-08,-0.847061312881
25.250501002,7.08183528249,1.46572642682e-08,-0.934189988141
26.6533066132,7.12441588913,1.44352778764e-08,-1.02742175602
28.0561122244,7.15438796389,1.41858244264e-08,-1.13074739858
29.4589178357,7.13288224222,1.39219109131e-08,-1.23538405438
30.8617234469,7.00321875455,1.36205796077e-08,-1.33408338994
32.2645290581,6.73822566005,1.32906270132e-08,-1.41712478366
33.6673346693,6.1642842227,1.30004242364e-08,-1.42022115414
35.0701402806,5.69546154917,1.27853678257e-08,-1.37273888005
36.4729458918,5.31511421114,1.26297049795e-08,-1.28627508309
37.875751503,5.34111084278,1.25565595713e-08,-1.19791578305
39.2785571142,5.37083839804,1.24845045304e-08,-1.11327377576
40.6813627255,5.40856802948,1.2414788107e-08,-1.03660460918
42.0841683367,5.44575487417,1.23503458205e-08,-0.966248319978
43.4869739479,5.48260588562,1.22891667503e-08,-0.899797937068
44.8897795591,5.51777454142,1.22258860507e-08,-0.839047520593
46.2925851703,5.55237908611,1.21619006532e-08,-0.780208361311
47.6953907816,5.58279224515,1.20994477136e-08,-0.730634128351
49.0981963928,5.61263389142,1.20372037309e-08,-0.682323206387
50.501002004,5.64150760804,1.19739185559e-08,-0.637368386253
51.9038076152,5.67017703459,1.19104137861e-08,-0.593121900978
53.3066132265,5.69645054276,1.18514280686e-08,-0.553857326207
54.7094188377,5.72201419563,1.17937812277e-08,-0.516068776528
56.1122244489,5.74722590252,1.17373175824e-08,-0.479455142005
57.5150300601,5.77210398527,1.1681975512e-08,-0.443955258116
58.9178356713,5.7963459328,1.16284353636e-08,-0.409575792576
60.3206412826,5.81873215134,1.1580151906e-08,-0.378464803224
61.7234468938,5.84111836989,1.15318684467e-08,-0.347353813872
63.126252505,5.8631613933,1.14863670637e-08,-0.317107921298
64.5290581162,5.8851037462,1.14416818034e-08,-0.287115790277
65.9318637275,5.90646734248,1.13989141864e-08,-0.257969332043
67.3346693387,5.92642157281,1.13608163406e-08,-0.230882223707
68.7374749499,5.94637580315,1.13227184949e-08,-0.203795115371
70.1402805611,5.96618940423,1.12865071879e-08,-0.176844293164
71.5430861723,5.9858937532,1.12517615472e-08,-0.149999348973
72.9458917836,6.00559810218,1.12170158929e-08,-0.123154404783
74.3486973948,6.02387180122,1.11870517226e-08,-0.0978816177217
75.751503006,6.0418616904,1.11580360474e-08,-0.0729207124696
77.1543086172,6.05985157958,1.11290203723e-08,-0.0479598072175
78.5571142285,6.07752202348,1.11032391162e-08,-0.0225904676181
79.9599198397,6.09512956158,1.10780947456e-08,0.00285930167289
81.3627254509,6.11273709968,1.10529503668e-08,0.0283090709638
82.7655310621,6.12879236483,1.10327918675e-08,0.0530291581833
84.1683366733,6.14454420844,1.1013607979e-08,0.0776066150438
85.5711422846,6.16029605206,1.09944240994e-08,0.102184071904
86.9739478958,6.17556409382,1.09773356207e-08,0.127609965524
88.376753507,6.19041999889,1.0962032153e-08,0.1537586177
89.7795591182,6.20527590395,1.09467286966e-08,0.179907269877
91.1823647295,6.21970337987,1.09325235654e-08,0.206206988273
92.5851703407,6.23279980246,1.09217306679e-08,0.232976042602
93.9879759519,6.24589622505,1.09109377814e-08,0.259745096931
95.3907815631,6.25899264765,1.09001449093e-08,0.28651415126
96.7935871743,6.27203896822,1.08920678759e-08,0.315863863763
98.1963927856,6.28505457759,1.08856555409e-08,0.346795451279
99.5991983968,6.29807018697,1.08792432059e-08,0.377727038795
101.002004008,6.31108579634,1.08728308709e-08,0.408658626311
102.404809619,6.32334860801,1.08692421589e-08,0.444339227727
103.80761523,6.33560873678,1.0865663401e-08,0.480036754229
105.210420842,6.34786886554,1.0862084643e-08,0.515734280731
106.613226453,6.36016792633,1.08585959851e-08,0.551513301735
108.016032064,6.3753215741,1.08617099619e-08,0.593267689929
109.418837675,6.39047522187,1.08648239388e-08,0.635022078124
110.821643287,6.40562886964,1.08679379156e-08,0.676776466318
112.224448898,6.42073971558,1.08711466903e-08,0.719281733581
113.627254509,6.43448823154,1.08773727672e-08,0.785686570952
115.03006012,6.44823674749,1.08835988442e-08,0.852091408323
116.432865731,6.46198526345,1.08898249211e-08,0.918496245694
117.835671343,6.4757337794,1.0896050998e-08,0.984901083065
119.238476954,6.60447950879,1.09247414481e-08,1.04295151433
120.641282565,6.79451308612,1.09654043022e-08,1.09654945883
122.044088176,6.98454666345,1.10060671563e-08,1.15014740334
123.446893788,7.17458024079,1.10467300104e-08,1.20374534784
124.849699399,7.36893372294,1.10892466991e-08,1.23296949183
