x,U_0,U_1,U_2
0,7.9994015519,0,0
2.07207207207,7.99976197357,8.37796530415e-11,0.000282992132238
4.14414414414,7.99978847893,3.53260643314e-05,0.000579790439957
6.21621621622,7.99977959291,6.62424438125e-05,0.000878052047519
8.28828828829,7.99977070688,2.71724648547e-05,0.0011763136539
10.3603603604,7.99964772171,-3.28007769977e-07,0.00147088924434
12.4324324324,7.99937872897,-9.56205774116e-07,0.00175708189892
14.5045045045,7.99950634284,4.51880426655e-06,0.00204530578281
16.5765765766,7.99933682062,4.45519036588e-05,0.00234844939723
18.6486486486,7.9991672984,5.95208441444e-05,0.00265159301138
20.7207207207,7.99899777618,1.94878803627e-05,0.00295473662492
22.7927927928,7.9986542817,-1.12242318562e-06,0.00325189813122
24.8648648649,7.99837285973,-1.48394098965e-06,0.00354362641217
26.9369369369,7.99830147579,1.35927492376e-05,0.00384184547773
29.009009009,7.99800449063,5.58612574481e-05,0.00415305043598
31.0810810811,7.99770750547,5.40235697461e-05,0.00446425539395
33.1531531532,7.99741052032,1.17552024578e-05,0.00477546035168
35.2252252252,7.99686794428,-2.42517563894e-06,0.00507836938745
37.2972972973,7.99656600981,-1.57753988409e-06,0.00537878113846
39.3693693694,7.99629012887,2.4359124028e-05,0.00569136223
41.4414414414,7.99585996165,7.02951255493e-05,0.00601435450719
43.5135135135,7.99542979442,4.9124729013e-05,0.00633734678401
45.5855855856,7.9949996272,3.18887605082e-06,0.00666033906069
47.6576576577,7.99425324948,-4.30139983617e-06,0.00697254887451
49.7297297297,7.99391972057,-1.20532911905e-06,0.00728516559211
51.8018018018,7.99343045569,3.78716885666e-05,0.00761715157023
53.8738738739,7.99285566002,8.91199327674e-05,0.00795589546587
55.9459459459,7.99228086435,4.41107502106e-05,0.00829463936099
58.018018018,7.99165836517,-8.34457683043e-07,0.00863168057136
60.0900900901,7.99076310293,-6.31682915646e-06,0.00895825789641
62.1621621622,7.99035097124,-3.12162253141e-07,0.00928606071731
64.2342342342,7.98962814983,5.55536715895e-05,0.0096428614675
66.3063063063,7.98888816413,9.684288286e-05,0.0100012642302
68.3783783784,7.98814817843,3.82225900102e-05,0.0103596669924
70.4504504505,7.98728787363,-2.61885905494e-06,0.0107132545486
72.5225225225,7.98632336539,-6.35231195996e-06,0.0110579125564
74.5945945946,7.98566697006,1.07394972885e-05,0.0114086036638
76.6666666667,7.98473344363,7.9414695152e-05,0.0117903813712
78.7387387387,7.9837999172,9.91215490503e-05,0.0121721590784
80.8108108108,7.98286639077,3.04465138405e-05,0.0125539367853
82.8828828829,7.98173857263,-5.13985412304e-06,0.0129263776725
84.954954955,7.98066215909,-5.8627529792e-06,0.0132906227101
87.027027027,7.97970630895,3.00525701195e-05,0.0136705208426
89.0990990991,7.97854075864,0.000112371241675,0.0140791950852
91.1711711712,7.97737520834,0.000101634117378,0.0144878693274
93.2432432432,7.97620965804,1.93156116573e-05,0.0148965435694
95.3153153153,7.97477413671,-8.53100814174e-06,0.0152887334467
97.3873873874,7.97352454737,-4.74947192141e-06,0.0156723186902
99.4594594595,7.97221573757,5.78815922418e-05,0.0160868758274
101.531531532,7.97076441402,0.0001587611303,0.0165257465084
103.603603604,7.96931309047,0.000103496818259,0.0169646171889
105.675675676,7.96786176692,2.61744888607e-06,0.0174034878693
107.747747748,7.96606198392,-1.29474139069e-05,0.0178141632063
109.81981982,7.96454932881,-2.88870360686e-06,0.018214103424
111.891891892,7.96281185332,9.88992268299e-05,0.0186701235574
113.963963964,7.96100043739,0.000225294203739,0.0191421227632
116.036036036,7.95918902147,0.000103295742067,0.0196141219684
118.108108108,7.95731130512,-2.8647704144e-06,0.0200787431083
120.18018018,7.95515871362,-1.58316759761e-05,0.0205085591059
122.252252252,7.95323230786,-1.34704778497e-07,0.0209192734764
124.324324324,7.95095582924,0.000160355548808,0.0214262838538
126.396396396,7.94867621584,0.000260241363246,0.0219341565295
128.468468468,7.94639660243,9.84547074002e-05,0.0224420292046
130.540540541,7.94397077351,-7.19083129312e-06,0.0229274199197
132.612612613,7.94135289596,-1.47028959567e-05,0.0233673929857
134.684684685,7.9387477612,4.23743509676e-05,0.0238084640512
136.756756757,7.93585759111,0.000254410894679,0.024353836703
138.828828829,7.93296742102,0.000296818272975,0.0248992093544
140.900900901,7.93007725093,8.47819031459e-05,0.0254445820053
142.972972973,7.92696392804,-1.2819627101e-05,0.0259392510514
145.045045045,7.92366761757,-1.26337246411e-05,0.026371553531
147.117117117,7.92016530296,0.000115659201852,0.0268489942506
149.189189189,7.91641356755,0.00039876575112,0.0274324703984
151.261261261,7.91266183215,0.000337220954432,0.0280159465457
153.333333333,7.90891009674,5.41145782011e-05,0.0285994226925
155.405405405,7.90481305584,-2.00761427691e-05,0.0290821847506
157.477477477,7.90038850472,-9.49749369251e-06,0.0294791155173
159.54954955,7.89567079192,0.000241028507151,0.0300085028194
161.621621622,7.89083264207,0.000631530448174,0.0306355212625
163.693693694,7.88599449223,0.000383646742326,0.0312625397049
165.765765766,7.88115078136,-5.03695574632e-07,0.0318862718222
167.837837838,7.87599613972,-2.95351602879e-05,0.0323262574019
169.90990991,7.87013540011,-5.04760594235e-06,0.0326474742194
171.981981982,7.86368795639,0.000455897248675,0.033205624526
174.054054054,7.85709058808,0.000979085513524,0.0338185586018
176.126126126,7.84904129933,0.000427098100728,0.034532854753
178.198198198,7.84065341382,6.97645822181e-09,0.0351457813902
180.27027027,7.83139991365,7.1110025581e-09,0.0354441444616
182.342342342,7.8240946787,7.21745402993e-09,0.0359563495902
