z,U_0,U_1,U_2
0,0,0,0
1.40280561122,4.67412826796,-8.05647292428e-06,0.00164656452584
2.80561122244,5.45308904175,1.84475962753e-05,0.00356976110803
4.20841683367,5.845766255,2.31557322475e-06,0.00606622122346
5.61122244489,6.08397703598,-4.91879663351e-05,0.00903550601886
7.01402805611,6.23301052346,-0.000127859911779,0.0122904547519
8.41683366733,6.31612655291,-1.04356262883e-07,0.0164221154553
9.81963927856,6.36254783073,-3.83206993754e-05,0.0205308784419
11.2224448898,6.39557226968,-6.0874043576e-05,0.0244744631705
12.625250501,6.40767697837,-4.68299700313e-06,0.0289382399538
14.0280561122,6.41197077472,-4.77031361752e-05,0.0332296685198
15.4308617234,6.42030729026,-7.91257554185e-05,0.0370018745975
16.8336673347,6.40434903028,-0.00014400074447,0.0419271666321
18.2364729459,6.40407161838,-9.06446243708e-05,0.0456902025542
19.6392785571,6.37118647054,-0.000208614601291,0.0510228979938
21.0420841683,6.355622313,-5.85602508636e-05,0.0549626178102
22.4448897796,6.3087575371,-0.000153407288868,0.0600813087596
23.8476953908,6.26939621824,-7.8283829747e-06,0.0643393774947
25.250501002,6.21957813725,-1.59573821158e-05,0.0683027350715
26.6533066132,6.15567589609,-0.000334074134894,0.0722892831893
28.0561122244,6.11311784366,-3.00694966098e-05,0.0747808174981
29.4589178357,6.02041117587,-0.000176735585735,0.0783998765925
30.8617234469,5.94676228936,-0.000146697152045,0.0806811264139
32.2645290581,5.89544418291,1.14125648537e-06,0.0814952042009
33.6673346693,5.79512040613,-0.000234785866026,0.0830172540985
35.0701402806,5.71946177229,-0.000144610958273,0.0833997788611
36.4729458918,5.67699647441,2.52814517017e-05,0.0825060243206
37.875751503,5.58035930996,-8.36658081382e-05,0.0820681586656
39.2785571142,5.51570702377,-0.000264927937504,0.0806722550084
40.6813627255,5.47128074714,1.57985539566e-05,0.078829452046
42.0841683367,5.41377165435,9.74050895973e-06,0.0766879963819
43.4869739479,5.35694097916,-0.00019364727778,0.0743140792612
44.8897795591,5.31077153921,-5.25586896118e-05,0.0717723342024
46.2925851703,5.29421455897,9.18085670145e-06,0.0689527440641
47.6953907816,5.24603381876,1.53683074836e-06,0.0660704798562
49.0981963928,5.21438209718,-0.000100216626352,0.0630821784976
50.501002004,5.18648452592,-2.36421641731e-05,0.0600755690279
51.9038076152,5.17982264051,-1.46678668243e-05,0.0570532680561
53.3066132265,5.15476044385,-5.95545670933e-06,0.0539707268678
54.7094188377,5.13416031209,-1.35938764567e-05,0.0508922455677
56.1122244489,5.11996205714,-1.3026965688e-05,0.0478253065947
57.5150300601,5.11274509608,-1.69904506495e-05,0.0447770014278
58.9178356713,5.11109516296,-3.96908659134e-05,0.0417563717047
60.3206412826,5.09324392656,2.66135151449e-07,0.0387297423101
61.7234468938,5.08813265019,1.66066483756e-05,0.0357271131884
63.126252505,5.08302137348,7.67817767793e-06,0.0327244839859
64.5290581162,5.08479018872,-3.36106993669e-05,0.029712013454
65.9318637275,5.08758955103,-6.16852253936e-05,0.0267221909813
67.3346693387,5.0781688303,-4.16896655966e-06,0.0238085895049
